Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 21 Mar 2024 10:36:33 AM

Recipient,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2000-2024,Percentage,Sum total years,Percentage of total
India,987,1169,2001,2738,2212,1194,1479,2276,1624,1937,2886,3613,4429,5242,3201,2724,2553,2656,2006,3147,2637,3959,2582,1428,,60682,9.9%,60682,9.9%
China,2491,2773,2838,2334,3236,3478,2842,1700,1822,1386,979,1071,1601,1261,1041,1252,1223,1550,2029,1341,779,686,717,471,,40901,6.7%,40901,6.7%
Saudi Arabia,105,60,560,160,1159,166,205,227,387,827,1108,1172,930,1511,2711,3384,2974,3968,3170,3065,2399,1803,3132,1315,,36500,6.0%,36500,6.0%
South Korea,1399,774,520,754,1055,802,1659,1730,1691,798,1299,1568,1076,189,742,268,1038,962,1030,1605,1273,812,423,189,,23652,3.9%,23652,3.9%
Australia,326,1217,641,781,471,468,741,675,430,807,1558,1584,788,220,857,1470,1029,1664,1582,1184,1650,1215,827,362,,22545,3.7%,22545,3.7%
UAE,244,183,221,676,1145,2072,1925,821,730,604,646,1239,1139,2283,738,1186,946,832,1128,862,574,530,452,902,,22078,3.6%,22078,3.6%
Egypt,834,829,717,631,648,809,695,660,326,95,689,653,308,719,430,1443,1641,2462,1630,1091,1360,1325,733,1130,,21857,3.6%,21857,3.6%
Pakistan,175,412,566,645,471,431,324,694,1073,1194,2226,1142,1021,1107,860,771,831,873,890,737,685,1035,1466,2129,,21760,3.5%,21760,3.5%
United States,327,488,497,592,575,535,651,834,985,989,1051,984,1224,797,595,512,435,495,350,892,803,846,748,693,,16897,2.8%,16897,2.8%
Algeria,405,539,252,204,251,159,340,507,1510,1063,831,1133,662,361,716,896,2914,1136,1287,167,600,162,313,355,,16763,2.7%,16763,2.7%
Turkiye,1182,506,893,331,257,1094,529,701,649,731,467,756,1481,769,1527,445,328,429,488,769,108,282,186,936,,15842,2.6%,15842,2.6%
Japan,488,423,433,457,390,374,463,553,990,990,658,300,239,342,329,356,346,446,764,992,932,1112,1569,1103,,15048,2.5%,15048,2.5%
