"","Label","Pyruvate","MethylSuccinate","Phosphoglyceric Acid","Glucose 1-phosphate","Malonic Acid","Fumaric Acid","Alpha-Ketoglutaric Acid","Sarcosine","Cadaverine","5-Aminovaleric Acid","Pipecolate","Tyramine","1-Methylhistidine","isoValeric Acid","2-Hydroxyisovaleric Acid","3-Methyl-2-Oxovaleric Acid","2-Aminoisobutyric acid","Creatinine","Betaine","Taurine","1-Methylhistamine","Pyroglutamic Acid","Creatine","4-Hydroxyproline","Homocysteine","Cysteamine","Carnitine","Glycerate","N-AcetylGlycine","Guanidinoacetate","Benzoic acid","Citraconic Acid","Glutaric Acid","Oxaloacetate","Anthranilate","2-Hydroxyglutarate","2-Aminoadipate","Homogentisate","Hydroxyphenylpyruvic acid","Kynurenate","Xanthurenate","Pantothenic acid","L-Kynurenine","3-Hydroxykynurenine","Cytidine","Uridine","1-Methyladenosine","Hypoxanthine","Oxypurinol","Xanthine","Orotate","Allantoin","Urate","Xanthosine","AMP","IMP","ADP","Adenylosuccinate","Choline","Dimethylglycine","Niacinamide","Methylmalonate","Ascorbic Acid","4-Pyridoxic acid","Biotin","Pyridoxal 5'-phosphate","Trimethylamine","Trimethylamine N-oxide","Shikimic Acid","Hippuric Acid","4-Hydroxybutyrate","Acetylcholine","Deoxycarnitine","13-HODE","18-Hydroxyarachidonic acid","Glycochenodeoxycholate","Acetylcarnitine","Azelaic Acid","Myristic Acid","Margaric Acid","Linoleic Acid","Linolenic Acid","Mannose","Sorbitol","Glyceraldehyde","Erythrose","myoinositol","Fructose","D-Glucoronic acid","N-Acetylneuraminic acid","Lactose","Sucrose","Ornithine","Citrulline","Propionate","Oxalic Acid","Acetoacetate","Adipic Acid","Ribose-5-P","Geranyl-PP","Glycine","Alanine","Serine","Proline","Valine","Threonine","Leucine","iso-Leucine","Asparagine","Aspartic Acid","Glutamine","Lysine","Glutamic acid","Methionine","Histidine","Phenylalanine","Arginine","Tyrosine","Tryptophan","Cystine","lactate","3-Hydroxybenzoic acid","Succinate","Glucose"
"20","0",14.15855,15.62452,13.3836,11.92364,13.93356,12.7877,14.98144,11.73948,10.92178,15.78604,15.33502,10.97491,11.50517,13.6763,15.8725,11.25083,11.8903,16.0719,16.47048,14.73802,0.6079275,11.32571,14.60657,13.78608,10.529628,13.47203,16.6059,12.74237,14.60458,12.91203,12.74479,15.10066,13.38409,12.27781,14.53487,14.44718,11.29325,14.1428,11.36409,12.28459,12.11071,13.92114,12.29493,11.96009,10.864537,11.33564,15.00514,15.44572,12.34533,13.58751,14.33202,13.22217,16.93692,11.49369,13.15029,11.420369,12.83791,11.74488,17.11269,12.95279,11.64619,13.96016,12.77175,13.46774,13.05514,12.28986,13.38912,15.36011,16.4734,14.14026,12.53813,14.86667,11.20828,11.98602,10.36862,11.49564,16.11463,12.67566,13.45083,10.98636,11.50477,14.46048,16.39206,11.81954,11.27654,12.47453,14.49045,13.72728,12.40082,11.33304,10.80428,12.70697,14.83695,17.18063,9.716688,11.84475,11.24129,12.03299,11.57121,11.86684,5.286096,5.385136,4.145091,4.752547,4.478798,4.45162,4.354561,3.60305,3.478715,1.595931,6.111167,4.969473,3.845329,3.094913,4.439493,3.934856,4.362485,3.125658,3.344071,3.223674,7.39185,3.16139,2.165842,8.310291624
"24","0",14.18029,15.32566,13.46836,12.04629,13.04322,12.53623,14.59342,11.83321,11.12186,16.06978,15.29372,11.06423,14.28875,13.77078,16.17996,10.58136,11.54774,16.11427,16.44972,15.19053,10.714003,10.79164,15.30575,14.76747,10.162194,14.13306,16.70621,12.55461,12.96451,12.80535,12.95862,14.05284,13.85416,12.29185,14.50498,14.46451,11.60013,14.70404,11.2207,12.09461,12.40292,14.13652,12.16234,11.93675,10.106428,11.10945,15.11291,13.9438,12.34387,13.64441,14.26449,13.19888,17.60547,11.6924,13.48362,12.063659,13.0898,11.2777,16.76002,13.45416,11.87158,14.19397,12.74616,13.52774,13.05877,12.49607,13.54486,17.46361,17.12068,14.71183,12.20173,15.03637,11.34511,11.21355,10.32931,11.9086,16.05443,12.90721,12.84529,11.1339,11.13303,13.62428,16.42824,12.48902,11.87014,12.55787,14.23789,12.89868,12.73411,11.39496,11.4751,12.78224,14.48595,16.58305,10.412002,11.33178,11.72634,11.48275,11.23323,11.97054,4.427408,5.468151,3.870776,4.688673,4.815039,4.475067,4.454307,3.965037,3.304374,1.696909,5.894415,4.993624,4.651201,2.903305,4.091856,3.799364,4.055512,3.81243,3.537357,3.297459,6.926229,2.35591,2.260621,8.423733003
"29","0",13.92133,16.15687,14.61506,13.05193,13.38199,12.4196,14.70198,12.23207,11.02533,16.22535,15.93613,10.94756,14.65085,13.74416,18.18088,11.57556,11.82627,16.11686,16.46576,14.94618,11.107321,10.87679,16.8624,15.8475,10.167601,13.19277,16.8708,12.71492,14.86424,13.20411,13.19164,14.51671,15.3547,12.00139,14.51298,14.60615,12.23098,13.97925,11.56339,12.17755,12.7184,12.84469,12.17311,11.94871,8.780131,10.83694,15.20259,14.13608,11.66622,13.11456,14.40258,13.3057,17.00476,11.64015,14.32515,12.162998,13.27943,11.76395,17.01763,14.35874,12.70022,14.55552,11.99381,13.5214,12.37209,12.48948,13.72233,16.71407,15.23723,14.43574,12.46516,15.64774,11.68728,11.94469,10.910713,13.8924,16.43393,12.91492,13.25273,11.1954,11.35845,14.16386,16.43695,12.48812,12.24427,12.47987,14.90027,13.65978,12.17706,12.42336,11.71273,12.758,15.19586,17.50648,11.056677,11.62022,12.26422,11.74754,12.11472,11.88505,5.054507,5.842945,4.16907,5.150001,4.945239,5.321353,4.888575,4.286191,4.133388,1.706082,5.954656,5.42312,3.99281,3.885615,4.647577,4.217314,4.789008,3.910396,4.078951,3.158093,7.132086,2.472365,2.295447,8.357070943
"52","0",13.78561,15.93953,13.20662,12.34216,12.44807,12.2111,14.86091,11.94945,11.01566,15.9578,15.64552,10.86242,12.76827,13.83328,15.42928,11.34421,11.90057,15.77983,16.56488,15.26577,9.838507,11.19709,14.40864,13.65307,10.267829,13.47595,16.39274,12.43992,12.97696,12.92724,12.88096,15.18682,13.63847,11.9047,14.48802,14.3071,11.42462,14.1626,10.95265,11.74629,12.38244,13.63879,12.15474,12.2028,9.856618,11.62758,14.76262,13.17435,11.9981,13.16793,14.29284,13.4982,17.20389,11.18389,13.31191,11.652819,13.20029,11.47667,17.05214,13.35196,11.93639,13.69312,12.55536,13.52992,13.38617,12.43331,13.28313,16.14411,16.20128,14.66139,12.3787,14.61882,10.84525,11.40333,10.641959,13.4158,15.50336,13.02912,12.42723,11.36278,11.15611,13.75161,16.30867,12.48463,11.62808,12.73136,14.24428,13.19905,11.98949,11.36688,11.77057,12.65057,14.99182,17.09831,10.441206,11.29416,11.49104,11.61867,11.7697,12.27684,4.908603,5.765785,4.027288,4.998586,4.720617,4.799525,4.586268,3.918834,3.969667,1.947518,6.137698,5.259897,4.415223,3.270033,4.531611,4.166923,4.573985,3.953711,3.698545,2.442535,6.605744,1.844567,2.278589,8.414503996
"54","0",13.67423,15.74367,11.54201,11.80787,14.58207,11.63515,14.97045,11.45757,11.10324,15.7151,15.31339,10.75589,12.13985,13.35648,15.69541,11.28601,11.57536,15.47542,16.25901,14.39554,0.6079275,11.48262,15.59382,13.91101,10.289821,11.95563,16.4664,12.88477,14.70809,12.58078,12.60101,13.61241,13.37454,11.24498,14.39199,13.85631,10.64819,13.8302,10.93559,11.54461,12.0312,12.76865,11.59768,11.87037,9.033246,11.38791,14.41942,13.42197,12.08024,13.1846,14.25993,13.0243,16.82233,10.60659,11.99764,9.979357,11.9335,10.61962,16.77117,13.9373,11.14176,13.69647,12.48337,13.45759,13.12904,12.14913,13.31479,15.49898,16.44669,14.24864,12.62935,14.52967,10.85703,11.51753,10.263842,11.80564,16.46979,12.73005,12.43378,11.15514,11.39233,14.09473,16.30472,12.06562,11.15552,12.29811,14.25554,12.37485,11.66217,10.64231,10.49845,12.62596,14.6964,16.59431,10.071172,10.91238,11.30107,11.52184,11.77762,11.87799,5.041165,5.424572,4.536492,4.28476,4.541018,5.071762,4.413506,3.691088,3.872781,1.4469,6.266619,4.977763,3.148058,3.170585,4.551687,3.767357,4.449439,3.553009,3.434078,2.67529,6.318173,3.773262,2.136011,8.193979575
"56","0",13.44709,15.5952,13.1183,12.00203,12.81796,12.06525,14.79678,11.83141,11.21934,16.00168,15.52,10.85642,11.79878,13.63886,15.74686,10.89182,11.56844,15.54293,16.48153,14.95321,0.6079275,11.21623,14.97565,14.01643,10.336629,12.40126,16.51694,12.62254,13.74777,12.56513,13.05965,13.81836,13.22145,11.40831,14.55139,14.31225,11.53713,13.74254,10.90721,11.63888,12.07864,13.18174,11.96695,11.94966,12.197657,11.87056,14.79884,13.38169,11.97239,13.33287,14.34028,13.09604,16.7988,11.46327,12.95966,11.756121,12.83649,11.3867,16.78105,13.28987,11.54005,13.98436,12.81678,13.62288,13.46234,12.32108,13.40912,16.51078,16.22681,14.72163,12.54315,14.32279,10.4359,11.63216,10.399913,10.13204,15.86502,12.77444,13.10326,11.00948,11.13298,13.98955,16.2812,12.30431,11.30528,12.42156,14.15796,13.35116,12.19547,11.02725,10.76796,12.52464,14.7707,16.66491,9.898813,11.50389,11.24667,11.8229,11.58282,11.97357,4.955578,5.321254,4.190206,4.446969,4.674285,4.632655,4.399602,3.749001,3.571387,1.673409,6.067299,5.070756,3.771297,2.94802,4.473621,3.847232,4.282759,3.600317,3.36334,2.875249,6.822323,2.165502,2.439154,8.346804747
"57","0",13.61662,15.40684,14.12497,12.49976,13.16869,12.23546,14.72128,11.69182,11.18905,15.88457,15.01927,10.84012,14.38712,13.53251,16.02011,11.07979,11.62458,15.65033,16.54084,15.18869,10.757933,11.11572,14.67171,13.28549,10.310377,11.67156,16.82725,12.67024,13.61121,12.53805,12.87425,13.54724,13.48558,11.68623,14.55206,14.31104,10.644,14.03906,11.39896,11.54285,12.49658,13.10886,12.26608,11.93403,9.486728,11.60734,14.82621,13.62864,12.20349,13.43614,14.42358,13.1958,17.07754,11.31558,13.92409,11.974517,13.39389,12.12003,16.90946,13.25278,11.92243,13.96014,12.81,13.5185,13.21238,12.31459,13.68656,16.46834,16.88272,14.08607,12.3658,14.67295,10.65113,12.13748,10.375461,12.63359,16.37678,12.81306,12.86399,10.9245,11.93742,14.42191,16.38815,12.54309,11.50039,12.57671,14.59039,12.01293,12.0983,11.77679,10.98172,12.7437,14.93091,16.97395,10.397059,11.39831,11.38342,11.68993,11.30507,11.87327,4.921162,5.685083,4.0587,5.08354,4.520316,4.40785,4.330795,3.675575,3.513602,1.947098,5.989795,4.647559,3.945028,2.861466,4.377434,4.196924,4.341699,3.955967,3.57376,3.155289,6.469863,2.431075,2.396853,8.139349683
"58","0",13.73109,15.44938,13.10805,11.94835,14.49246,12.00882,14.7278,11.73339,10.86429,15.93587,15.57449,10.74738,14.53728,13.78308,16.14956,11.02298,11.53312,15.31608,16.2759,14.92236,11.023407,11.0908,15.60232,13.3527,10.209053,12.49677,16.01091,12.75565,13.87993,12.46856,12.90862,14.0846,13.44313,11.60345,14.45347,14.08383,10.61778,13.88777,10.70913,11.51721,12.15138,12.91773,11.60462,12.11948,9.478271,11.66687,14.50979,14.0869,12.3407,13.54864,14.16211,12.81081,16.9902,11.10674,13.13532,11.685739,13.06037,11.15918,16.79465,13.82435,11.77336,13.58468,12.64529,13.50162,13.40223,12.12273,12.8464,15.62765,17.23856,13.46688,12.43365,14.10299,10.14627,11.35406,10.640814,10.60654,15.86028,12.81285,12.38998,11.17547,11.64823,14.29616,16.24912,12.27536,11.42479,12.45637,13.99997,10.95679,11.59794,10.86622,10.12407,12.75105,14.54948,16.48407,10.10184,11.00364,11.57151,11.73782,11.47581,11.49815,4.905505,5.148472,4.224069,4.319659,4.669545,4.700455,4.417932,3.640905,3.538301,1.620884,5.998807,5.188872,3.921035,3.058214,4.3159,3.95613,4.369007,3.808282,3.271158,2.944483,6.317708,3.595748,2.325542,8.359634173
"59","0",14.46868,15.43826,13.73784,12.20404,12.95025,12.46688,14.82653,12.03708,11.03234,16.12559,15.47993,10.80952,13.83549,13.81168,16.32198,10.91037,11.53559,15.71097,16.20216,15.1001,10.698638,11.22744,15.86937,13.67493,10.267409,13.1828,16.84594,12.61791,14.13251,13.07455,12.2301,15.07838,13.88768,12.23145,14.49901,14.53498,11.76699,14.55459,10.95562,12.2203,12.06653,13.67398,12.0706,12.12174,8.651618,11.70636,14.94034,13.5484,12.57571,13.71606,14.38717,13.09429,17.52503,11.52604,13.58995,12.534213,13.36591,11.73438,16.74083,13.69573,12.14134,13.99317,12.45144,13.56214,13.34146,12.44765,13.68851,16.49087,17.44276,12.66921,12.53534,14.60797,10.97944,11.27803,10.673932,12.16736,16.35183,12.5596,13.39618,11.00417,11.38802,13.85031,16.50399,12.30172,11.2586,12.60923,14.10331,12.87781,12.25128,10.88849,11.14122,12.65656,14.8867,16.71408,10.216227,11.77395,11.84716,11.66421,11.27784,12.21467,4.902528,5.9382,3.961145,4.689875,4.82451,4.395719,4.51237,3.892503,3.620349,1.766642,6.0563,5.056296,4.447714,2.932936,4.23362,3.847929,4.49849,3.642743,3.588967,3.240158,7.335289,2.148865,2.286202,8.402214167
"60","0",13.58915,15.8957,13.99209,12.26007,12.51358,12.25611,14.93487,11.80798,10.97547,15.80818,15.75963,10.765,13.58832,13.64055,16.06519,10.89096,11.67222,15.85955,16.4475,15.15934,10.481289,11.41967,14.95281,13.62229,10.201931,12.29862,16.71224,12.65941,13.59063,13.23051,13.32299,13.45558,13.68846,11.59457,14.48267,14.17142,11.15689,14.07771,10.95534,11.64053,12.37461,13.05882,12.04294,12.06694,9.446674,11.7731,14.97965,13.72944,12.38527,13.58269,14.36571,12.90326,17.03701,11.62896,13.12811,12.754884,12.84399,11.74398,16.96592,13.19866,12.02755,13.85839,12.52548,13.53934,13.4736,12.35675,13.54098,16.36424,16.00973,14.93983,12.35064,14.9247,11.1174,11.34661,10.563544,11.77956,15.99802,12.8185,12.48167,11.22854,11.1774,13.75748,16.38807,12.2596,10.98699,12.40864,14.16048,12.84708,12.01962,11.101,11.29665,12.8019,14.69884,17.05994,9.925582,10.8624,11.12073,11.74395,11.84652,11.97006,5.381549,5.72628,4.13727,4.677714,4.616892,4.711436,4.491623,3.810023,3.910968,1.506611,6.132702,5.325002,3.637183,3.283262,4.43511,4.002727,4.540823,3.56829,3.629008,3.000813,6.460277,1.805982,2.657117,8.319195401
