,Label,Pyruvate,MethylSuccinate,Phosphoglyceric Acid,Glucose 1-phosphate,Malonic Acid,Fumaric Acid,Alpha-Ketoglutaric Acid,Sarcosine,Cadaverine,5-Aminovaleric Acid,Pipecolate,Tyramine,1-Methylhistidine,isoValeric Acid,2-Hydroxyisovaleric Acid,3-Methyl-2-Oxovaleric Acid,2-Aminoisobutyric acid,Creatinine,Betaine,Taurine,1-Methylhistamine,Pyroglutamic Acid,Creatine,4-Hydroxyproline,Homocysteine,Cysteamine,Carnitine,Glycerate,N-AcetylGlycine,Guanidinoacetate,Benzoic acid,Citraconic Acid,Glutaric Acid,Oxaloacetate,Anthranilate,2-Hydroxyglutarate,2-Aminoadipate,Homogentisate,Hydroxyphenylpyruvic acid,Kynurenate,Xanthurenate,Pantothenic acid,L-Kynurenine,3-Hydroxykynurenine,Cytidine,Uridine,1-Methyladenosine,Hypoxanthine,Oxypurinol,Xanthine,Orotate,Allantoin,Urate,Xanthosine,AMP,IMP,ADP,Adenylosuccinate,Choline,Dimethylglycine,Niacinamide,Methylmalonate,Ascorbic Acid,4-Pyridoxic acid,Biotin,Pyridoxal 5'-phosphate,Trimethylamine,Trimethylamine N-oxide,Shikimic Acid,Hippuric Acid,4-Hydroxybutyrate,Acetylcholine,Deoxycarnitine,13-HODE,18-Hydroxyarachidonic acid,Glycochenodeoxycholate,Acetylcarnitine,Azelaic Acid,Myristic Acid,Margaric Acid,Linoleic Acid,Linolenic Acid,Mannose,Sorbitol,Glyceraldehyde,Erythrose,myoinositol,Fructose,D-Glucoronic acid,N-Acetylneuraminic acid,Lactose,Sucrose,Ornithine,Citrulline,Propionate,Oxalic Acid,Acetoacetate,Adipic Acid,Ribose-5-P,Geranyl-PP,Glycine,Alanine,Serine,Proline,Valine,Threonine,Leucine,iso-Leucine,Asparagine,Aspartic Acid,Glutamine,Lysine,Glutamic acid,Methionine,Histidine,Phenylalanine,Arginine,Tyrosine,Tryptophan,Cystine,lactate,3-Hydroxybenzoic acid,Succinate,Glucose,V127,V128,V129,V130,V131,V132,V133
20,0,14.15854529,15.62452248,13.38359998,11.92363841,13.93355953,12.7876961,14.98144022,11.73948374,10.92177553,15.78604179,15.3350248,10.97491342,11.50516917,13.67629802,15.87250013,11.25083201,11.89029582,16.07190214,16.47047778,14.73802337,NA,11.32571017,14.60657383,13.78608284,10.52962793,13.47202546,16.60590184,12.74237122,14.60457751,12.91202812,12.74478557,15.10066254,13.38408952,12.27780669,14.53486922,14.44718037,11.29325035,14.14279988,11.36408653,12.28459031,12.11070916,13.92113677,12.29492666,11.96008782,10.86453678,11.33563985,15.00514098,15.44571811,12.345327,13.58751195,14.33201601,13.22217308,16.93691875,11.49368658,13.15029215,11.42036863,12.8379086,11.74488305,17.11268567,12.95279099,11.64619482,13.96015938,12.77175317,13.4677375,13.05513664,12.28986346,13.38911603,15.36010733,16.47339956,14.14026229,12.53813115,14.86666833,11.20827608,11.98602136,10.36861987,11.49563898,16.11462617,12.6756556,13.45082598,10.98636445,11.50477214,14.46047662,16.39206403,11.81953956,11.27653771,12.4745279,14.49044834,13.72727506,12.40081861,11.33304439,10.80428201,12.70696822,14.83695488,17.18062804,9.716688216,11.84475133,11.24128653,12.03299492,11.57121109,11.86683852,5.286095932,5.385136344,4.145090706,4.752547178,4.47879839,4.451620223,4.354560541,3.603049535,3.478714744,1.595930648,6.111166986,4.969473028,3.845328867,3.094912891,4.439492649,3.93485585,4.362484634,3.125657658,3.344070865,3.223673822,7.391850133,3.161389897,2.165841731,8.310291624,,,,,,,
24,0,14.18028748,15.32566485,13.46836265,12.04629418,13.04322094,12.53622687,14.59341831,11.83321084,11.12186456,16.06978186,15.29372271,11.06422683,14.28874638,13.77078074,16.17995808,10.58136123,11.54774159,16.11427336,16.44972331,15.19052725,10.71400292,10.7916362,15.30574695,14.76747327,10.16219392,14.13306423,16.70620652,12.55460862,12.96451062,12.80534893,12.95862248,14.05284484,13.85416047,12.29185246,14.50497671,14.46450665,11.60013408,14.704044,11.22070022,12.09460642,12.40291957,14.1365226,12.16234334,11.93675387,10.10642801,11.10944598,15.11290936,13.94379832,12.34386529,13.64441259,14.26449361,13.19887944,17.60546938,11.69239666,13.48361672,12.06365924,13.08980451,11.27769839,16.76001895,13.45416336,11.87157669,14.19397101,12.74616464,13.52773895,13.05876984,12.49606982,13.54485943,17.46361082,17.12068404,14.71182535,12.20172636,15.03637052,11.34510812,11.21354576,10.32931032,11.90860004,16.05442806,12.90721108,12.84528589,11.13389916,11.13302966,13.62427841,16.42824064,12.4890225,11.87014319,12.55786766,14.23788747,12.89867593,12.73411171,11.39495767,11.47509692,12.78223781,14.48595186,16.58304753,10.41200185,11.33178299,11.72633798,11.48274831,11.23323312,11.97054417,4.427408465,5.468150745,3.870775992,4.688673152,4.815038534,4.475066741,4.454306987,3.965036928,3.30437352,1.696908625,5.894414631,4.993623863,4.651201456,2.90330528,4.091855644,3.799364422,4.055512273,3.812429955,3.537356509,3.297459057,6.926228615,2.355910161,2.260620612,8.423733003,,,,,,,
29,0,13.92132858,16.15686684,14.61506103,13.05192915,13.381985,12.41960032,14.70197784,12.2320702,11.02533329,16.22535254,15.93613026,10.9475598,14.65085346,13.74415865,18.18087821,11.57555523,11.82627058,16.11686075,16.46576201,14.94617954,11.10732132,10.87679053,16.86240202,15.84750248,10.16760096,13.19276801,16.87080394,12.71492355,14.8642431,13.20411376,13.19164092,14.51671228,15.35469812,12.00139039,14.51297685,14.60614935,12.23097998,13.97925372,11.56338554,12.17755124,12.71839786,12.84468921,12.17310765,11.94871349,8.780131288,10.83694329,15.20259341,14.13608011,11.6662163,13.11455866,14.40257721,13.30569808,17.00476204,11.64014568,14.32515447,12.1629976,13.27943476,11.76395037,17.01762561,14.35874198,12.70022262,14.55551653,11.99380739,13.52139615,12.37209136,12.48948464,13.72233497,16.71407211,15.23723336,14.43573892,12.46516055,15.64773632,11.6872769,11.94469382,10.91071319,13.89240306,16.43393271,12.91491961,13.2527297,11.1954036,11.35844981,14.16386067,16.43694718,12.48811651,12.24427083,12.47987443,14.90027088,13.65977943,12.17705623,12.42335708,11.71272536,12.75799556,15.19585599,17.50648346,11.05667672,11.6202153,12.26422375,11.74754438,12.1147211,11.88504782,5.054507097,5.842944581,4.169070082,5.150001132,4.945238963,5.321353494,4.888574507,4.28619084,4.133387711,1.706082407,5.954655974,5.423119521,3.992809933,3.885614889,4.647577317,4.217314366,4.78900777,3.91039575,4.078950606,3.158093045,7.132086463,2.472365306,2.295446521,8.357070943,,,,,,,
52,0,13.78560515,15.93953494,13.20661509,12.34215571,12.44806789,12.21109771,14.86091275,11.94944826,11.01565665,15.95779639,15.64552306,10.86242482,12.76826587,13.83328339,15.42927942,11.3442058,11.90056845,15.7798295,16.56488379,15.26576878,9.838507048,11.19709382,14.40863839,13.65306713,10.26782882,13.47594629,16.39273902,12.43991667,12.97695684,12.92723672,12.88096443,15.18682196,13.63847269,11.90470287,14.4880201,14.30709534,11.42461617,14.1625966,10.95265248,11.74628711,12.38243881,13.6387909,12.15473878,12.20280458,9.856617524,11.6275781,14.76262029,13.17435369,11.99810274,13.16792739,14.29284461,13.49820211,17.20388893,11.18388813,13.3119112,11.65281859,13.20028899,11.47667418,17.05213748,13.35196048,11.93639322,13.69312234,12.55535857,13.5299169,13.38616854,12.43331397,13.28313487,16.14411331,16.20128288,14.66138932,12.378699,14.6188224,10.84524912,11.4033278,10.64195946,13.41580195,15.503356,13.02911577,12.42723217,11.36277735,11.1561123,13.75160682,16.30867268,12.4846334,11.62808396,12.73135667,14.24427532,13.19905234,11.98948684,11.36688302,11.77057095,12.65056509,14.99182234,17.09831187,10.44120569,11.29416127,11.49104129,11.61867493,11.76969856,12.27683537,4.908602897,5.765784567,4.027287966,4.998585588,4.720616947,4.799525252,4.58626841,3.918834004,3.969666513,1.947518089,6.13769829,5.259896652,4.415223232,3.270032977,4.531610878,4.16692295,4.573985295,3.953711141,3.698545337,2.442534982,6.605743987,1.844567275,2.278588922,8.414503996,,,,,,,
54,0,13.67423402,15.74366786,11.54200811,11.80787203,14.58206805,11.63515401,14.97045115,11.45756874,11.10323879,15.7151032,15.31338541,10.7558923,12.13984598,13.356483,15.69540502,11.28600839,11.57536053,15.47541617,16.2590078,14.39554318,NA,11.482621,15.59381665,13.91100896,10.28982106,11.95563096,16.4664038,12.88476631,14.70808554,12.5807796,12.60101016,13.61240959,13.37454121,11.24497799,14.39199021,13.85631473,10.64818718,13.83019681,10.93559271,11.54460522,12.03120424,12.76864896,11.59767825,11.870373,9.033246309,11.38790767,14.41942362,13.42196763,12.08023621,13.18460405,14.25992509,13.02430349,16.8223272,10.60658595,11.99764289,9.979356772,11.93350029,10.61962227,16.77117023,13.93729684,11.14175965,13.69646811,12.48336779,13.45759274,13.12904322,12.14913426,13.31478756,15.49898493,16.44668914,14.24863552,12.62935395,14.5296654,10.8570286,11.51752615,10.2638424,11.80564001,16.46979034,12.7300511,12.43377551,11.15513719,11.39232524,14.09472893,16.30472097,12.06561754,11.15552333,12.29810748,14.25554247,12.37484995,11.66217161,10.64231101,10.49844971,12.62595901,14.69640243,16.59431202,10.07117225,10.91238137,11.30106609,11.52183874,11.777618,11.87799186,5.041164959,5.424572478,4.536492191,4.284760489,4.54101794,5.07176156,4.413506053,3.691087613,3.872781301,1.446900004,6.266619424,4.977763038,3.14805807,3.170585483,4.551686809,3.767356812,4.449439127,3.553008873,3.434077562,2.675290048,6.318172786,3.77326194,2.136010823,8.193979575,,,,,,,
56,0,13.44709319,15.59519965,13.11830158,12.00202657,12.81796219,12.06524627,14.79678028,11.83140891,11.21933706,16.00168449,15.51999539,10.85641995,11.79877909,13.63885597,15.74686136,10.8918219,11.56843576,15.54292642,16.48152586,14.95320512,NA,11.21623297,14.9756532,14.01643396,10.33662885,12.40126159,16.51694353,12.6225445,13.74777078,12.56513064,13.05965194,13.81835583,13.22145203,11.40831256,14.55138655,14.31224839,11.53712517,13.74254139,10.90720616,11.63887861,12.07864154,13.18173606,11.96695082,11.94965988,12.19765726,11.87055807,14.79884154,13.38168748,11.97239256,13.33287342,14.34027948,13.09603785,16.79879918,11.4632708,12.95965642,11.75612089,12.83648892,11.3866976,16.78104612,13.2898652,11.54005132,13.98435792,12.8167825,13.62287505,13.46234272,12.32107633,13.40912406,16.51077741,16.22680999,14.72162758,12.54314827,14.32279291,10.43590234,11.63216007,10.39991271,10.13204122,15.86502424,12.77444129,13.10326467,11.00948176,11.13297891,13.98955018,16.28120498,12.30431283,11.30527684,12.42156132,14.15796134,13.35116069,12.19547184,11.02725065,10.76796338,12.52464329,14.77069919,16.66490796,9.898813421,11.5038918,11.24667417,11.82289861,11.58281625,11.97357338,4.95557757,5.321253848,4.190206417,4.446969457,4.674285385,4.632654814,4.399601775,3.749000916,3.571386659,1.673409162,6.067298935,5.07075634,3.771296729,2.948019699,4.473620852,3.847231805,4.282758719,3.600317136,3.363340027,2.875249451,6.822322619,2.165501746,2.439154262,8.346804747,,,,,,,
57,0,13.61662495,15.40684087,14.12496677,12.49975804,13.168693,12.23545536,14.72128327,11.69181572,11.18905457,15.88456688,15.01927175,10.84012205,14.38711736,13.53251433,16.02010623,11.07979486,11.62457551,15.65033336,16.54084344,15.18868514,10.75793299,11.11571868,14.6717078,13.28549482,10.31037733,11.67156479,16.82724705,12.67024057,13.61121476,12.53804884,12.87425192,13.54723506,13.48557745,11.6862323,14.55205886,14.3110444,10.64399843,14.03906399,11.39895806,11.54284958,12.49657947,13.10886009,12.26607864,11.93403463,9.486728109,11.60733841,14.82620908,13.62864028,12.2034862,13.43614105,14.42358079,13.19579777,17.0775443,11.31557663,13.9240941,11.97451652,13.39389192,12.12002526,16.90946389,13.25278005,11.92242896,13.9601386,12.80999801,13.51849958,13.2123825,12.31458729,13.68655723,16.46834298,16.88272484,14.0860652,12.36580402,14.67295007,10.65113399,12.13748345,10.3754605,12.63358606,16.37678243,12.81305572,12.86398502,10.92450333,11.93741842,14.42191238,16.38815335,12.54309132,11.50039333,12.57671139,14.59039179,12.01292599,12.09830406,11.77679184,10.98172026,12.74370313,14.93091018,16.97394548,10.39705911,11.39831096,11.38342068,11.68993375,11.30507065,11.8732665,4.921161707,5.685083391,4.058700321,5.08353968,4.52031622,4.407850312,4.33079454,3.675575314,3.51360223,1.947097747,5.989795478,4.647559103,3.945027758,2.861466029,4.377433594,4.196924041,4.341698935,3.955966662,3.573760138,3.155288978,6.469862722,2.431075168,2.396852771,8.139349683,,,,,,,
58,0,13.731086,15.44938071,13.10804959,11.94834854,14.49245827,12.00881861,14.7277958,11.7333942,10.86428632,15.93586859,15.57449359,10.74737718,14.53727712,13.78307729,16.14956248,11.02297629,11.53312432,15.31608185,16.27590461,14.92236468,11.02340661,11.09080134,15.60231754,13.35270447,10.20905275,12.49677348,16.01090728,12.75564733,13.87993461,12.46856101,12.90862382,14.08460122,13.44312861,11.60344969,14.45347433,14.08383458,10.61778255,13.88777364,10.70912652,11.51720968,12.15137793,12.91773088,11.6046236,12.11947774,9.478270689,11.66686868,14.50978946,14.08689775,12.34069607,13.5486369,14.16210635,12.81080637,16.99019752,11.10673948,13.13532274,11.68573935,13.06037244,11.15918351,16.79464641,13.82434999,11.77336279,13.5846823,12.64528774,13.50161524,13.40222716,12.12273345,12.84639673,15.62765472,17.23855663,13.46687852,12.43365114,14.10299365,10.14627109,11.35405848,10.64081423,10.60654367,15.86027549,12.81284874,12.38997912,11.1754701,11.64823061,14.29616079,16.24911624,12.27535792,11.42479185,12.45637463,13.99997143,10.95678949,11.59793914,10.86621504,10.12406979,12.75105328,14.54947513,16.48406964,10.10183956,11.00364229,11.57151483,11.73781777,11.47580789,11.49815232,4.905504684,5.148472215,4.224069097,4.319658622,4.669545056,4.700455144,4.417932111,3.640904529,3.538301212,1.620883648,5.998806582,5.188871954,3.921034566,3.058214233,4.315900025,3.956130105,4.369007471,3.808281764,3.271158473,2.944483038,6.317707626,3.595748418,2.325541641,8.359634173,,,,,,,
59,0,14.46867781,15.43825858,13.73783649,12.20404416,12.95024976,12.46687603,14.82653459,12.0370847,11.03233915,16.12558572,15.47992796,10.80951603,13.83549018,13.81167618,16.32197938,10.91036749,11.53558617,15.7109687,16.20215591,15.1000978,10.69863769,11.22743807,15.86936543,13.67493431,10.26740891,13.18280154,16.84593579,12.61790676,14.1325069,13.07454868,12.23010109,15.07837606,13.88768297,12.23144921,14.49901427,14.53497567,11.76699034,14.55458775,10.95561866,12.22029572,12.0665268,13.67398106,12.07059872,12.12173785,8.651617981,11.70635841,14.94034374,13.54840482,12.57571134,13.7160578,14.3871668,13.09429339,17.52502997,11.52604008,13.58994944,12.53421342,13.36591073,11.73437837,16.74083007,13.69573201,12.14133671,13.993172,12.45144071,13.5621355,13.34145666,12.44765049,13.68850944,16.49086695,17.44275701,12.66920791,12.53534496,14.60796933,10.97944446,11.27803092,10.67393173,12.16736125,16.3518267,12.55959969,13.39617651,11.00417086,11.38802361,13.85030909,16.50399007,12.30172143,11.25860475,12.60922559,14.10331089,12.87781042,12.25128332,10.88849433,11.14121628,12.65656176,14.8866964,16.71408201,10.21622695,11.77395424,11.84715596,11.66420713,11.27784384,12.21467324,4.902528217,5.938200073,3.961145378,4.689875304,4.8245099,4.39571874,4.512370489,3.892502824,3.620348659,1.766641522,6.056300358,5.056295696,4.447713736,2.932936428,4.233619716,3.847928664,4.49848995,3.642743397,3.588966651,3.240157927,7.335289004,2.148865463,2.28620197,8.402214167,,,,,,,
60,0,13.58915244,15.89569602,13.99209413,12.26006953,12.51358048,12.25611056,14.9348734,11.80798478,10.97546616,15.80818234,15.7596338,10.76500319,13.58831695,13.64055111,16.06518832,10.8909588,11.67222095,15.85954583,16.44749707,15.15933505,10.48128898,11.41967489,14.95281447,13.6222875,10.2019313,12.29861848,16.71223615,12.65941375,13.59062574,13.23050524,13.32299078,13.45557964,13.68846145,11.59456608,14.48267414,14.17141864,11.15688856,14.07770543,10.95534185,11.64052688,12.37460933,13.05882026,12.04293627,12.06693723,9.446673673,11.77310341,14.97965113,13.72943958,12.38527049,13.58268766,14.36570963,12.90326171,17.03700758,11.62896329,13.12811216,12.75488379,12.84398693,11.74398048,16.96591563,13.1986589,12.02755085,13.85838995,12.52547822,13.53933972,13.47359883,12.3567491,13.54097664,16.3642419,16.00972536,14.93983411,12.35063776,14.92470222,11.11739665,11.34660771,10.56354362,11.77956285,15.99802322,12.81849694,12.48166979,11.22853654,11.17740246,13.7574809,16.38807288,12.25960129,10.98699404,12.40864226,14.16047847,12.84707716,12.01961746,11.10099686,11.2966521,12.80189677,14.6988357,17.05993932,9.925581565,10.86240201,11.12073345,11.74394627,11.84652138,11.97006253,5.381549369,5.726280466,4.137269541,4.677713889,4.616891941,4.711436218,4.491622642,3.81002287,3.910968248,1.506610617,6.132702166,5.325001858,3.637182613,3.283261657,4.435109814,4.002726916,4.540822641,3.568290182,3.629008468,3.000812568,6.460276781,1.805981559,2.657116709,8.319195401,,,,,,,
