full_name,height_cm,weight_kgs
Lionel Andrés Messi Cuccittini,170.18,72.1
Christian  Dannemann Eriksen,154.94,76.2
Paul Pogba,190.5,83.9
Lorenzo Insigne,162.56,59
Kalidou Koulibaly,187.96,88.9
Virgil van Dijk,193.04,92.1
Kylian Mbappé,152.4,73
Sergio Leonel Agüero del Castillo,172.72,69.9
Manuel Neuer,193.04,92.1
Edinson Roberto Cavani Gómez,185.42,77.1
Sergio Busquets i Burgos,187.96,76.2
Thibaut Courtois,198.12,96.2
Marc-André ter Stegen,187.96,84.8
Antoine Griezmann,175.26,73
Mohamed  Salah Ghaly,175.26,71.2
Paulo Bruno Exequiel Dybala,152.4,74.8
Milan Škriniar,187.96,79.8
Fernando Luiz Rosa,152.4,67.1
Gonzalo Gerardo Higuaín,185.42,88.9
Ivan Rakitić,182.88,78
Jan Vertonghen,187.96,86.2
Dries Mertens,170.18,60.8
Marcelo Vieira da Silva Júnior,175.26,79.8
Toby Alderweireld,185.42,81.2
Jordi Alba Ramos,170.18,68
Thiago Alcântara do Nascimento,175.26,69.9
Ciro Immobile,185.42,84.8
Keylor Navas,185.42,79.8
Francisco Román Alarcón Suárez,175.26,78.9
James David Rodríguez Rubio,154.94,74.8
Carlos Henrique Venancio Casimiro,185.42,83.9
Mauro Emanuel Icardi Rivero,154.94,74.8
Kepa Arrizabalaga,185.42,84.8
Hakim Ziyech,154.94,64.9
Fábio Henrique Tavares,187.96,78
Anthony Martial,182.88,76.2
Timo Werner,154.94,74.8
Niklas Süle,195.58,97.1
Bruno Miguel Borges Fernandes,152.4,68.9
Alex Nicolao Telles,154.94,71.2
José María Giménez de Vargas,185.42,79.8
Nabil Fekir,172.72,74.8
Davinson Sánchez,187.96,78.9
Marco Asensio Willemsen,182.88,76.2
Ousmane Dembélé,152.4,67.1
Andrés Iniesta Luján,170.18,68
Zlatan Ibrahimović,195.58,94.8
Luiz Frello Filho Jorge,154.94,67.1
Edin Višća,172.72,63
Serge Gnabry,175.26,74.8
Mateo Kovačić,175.26,78
William Silva de Carvalho,187.96,83
Felipe Augusto de Almeida Monteiro,190.5,86.2
Yannick Ferreira Carrasco,154.94,73
Lucas Vázquez Iglesias,172.72,69.9
Quincy Anton Promes,175.26,72.1
Leon Goretzka,187.96,78.9
Adrien Rabiot,193.04,79.8
Alessio Romagnoli,187.96,78
João Pedro Cavaco Cancelo,182.88,73.9
Anderson Souza Conceição,190.5,79.8
Kingsley Coman,152.4,71.2
Thomas Lemar,170.18,62.1
Jonathan Tah,195.58,97.1
Matteo Politano,170.18,67.1
Clément Lenglet,185.42,81.2
Pau López Sabata,187.96,77.1
Hirving Rodrigo Lozano Bahena,175.26,69.9
Malcom Filipe Silva de Oliveira,172.72,73.9
Lucas Torreira Di Pascua,167.64,64
Gonçalo Manuel Ganchinho Guedes,152.4,68
Giovani Lo Celso,175.26,69.9
Fabián Ruiz Peña,187.96,69.9
Frenkie de Jong,154.94,69.9
Raphael William Anjos Rochedo,190.5,84.8
Juan Everton Mestres de Mesquita,154.94,82.1
Rosberto J. Dourado Santos,175.26,69.9
Arthur Henrique Ramos Oliveira Melo,170.18,73
Rodrigo Hernández Cascante,190.5,82.1
Marco Parolo,182.88,74.8
Max Kruse,154.94,76.2
Jordan Brian Henderson,182.88,79.8
Osvaldo Nicolás Fabián Gaitán,172.72,66.2
Marko Arnautović,193.04,83
Sebastian Giovinco,162.56,60.8
Gylfi Þór Sigurðsson,185.42,77.1
Giuliano Victor de Paula,172.72,68
Péter Gulácsi,193.04,86.2
Luiz Gustavo Dias,187.96,78
Kieran Trippier,152.4,72.1
Aaron Ramsey,182.88,76.2
Mario  Barwuah Balotelli,187.96,88
Marlos Romero Bonfim,175.26,68.9
Taison Barcellos Freda,172.72,64
Giacomo Bonaventura,154.94,74.8
Geoffrey Kondogbia,187.96,79.8
Jérôme Roussillon,175.26,79.8
Simone Zaza,185.42,83.9
Šime Vrsaljko,154.94,76.2
Christoph Kramer,190.5,76.2
Benjamin Mendy,185.42,84.8
Marcel Sabitzer,152.4,77.1
Matija Nastasić,187.96,83
Alassane Plea,154.94,78.9
Matthias Ginter,187.96,83
Gerard Moreno Balagueró,154.94,77.1
Abdoulaye Doucouré,182.88,76.2
Raphaël Guerreiro,170.18,71.2
Ricardo Barbosa Pereira,175.26,69.9
Samuel Castillejo Azuaga,182.88,67.1
Julian Brandt,185.42,83.9
Nicolas Pépé,182.88,73
Steven Bergwijn,152.4,78
André Onana,187.96,93
Fabián Balbuena,187.96,84.8
André Miguel Valente da Silva,185.42,78.9
Mikel Oyarzabal Ugarte,154.94,78
Everton Jorge Andrade Zanon,152.4,74.8
Welington Kauê Dano Nascimento,152.4,68.9
Richarlison de Andrade,154.94,71.2
Álvaro Odriozola Arzalluz,175.26,66.2
Carlos Soler Barragán,154.94,76.2
Houssem Aouar,175.26,69.9
Tanguy NDombèlé Alvaro,154.94,76.2
Maximiliano Gómez,185.42,83.9
Joaquín Sánchez Rodríguez,152.4,74.8
Jérémy Mathieu,187.96,83.9
Joël Andre Job Matip,193.04,89.8
Serge Aurier,175.26,76.2
Josuha Guilavogui,187.96,77.1
Alex Oxlade-Chamberlain,175.26,69.9
Mathew Ryan,182.88,82.1
Vincent Paté Aboubakar,182.88,82.1
Luis Fernando Muriel Fruto,152.4,78.9
Domagoj Vida,182.88,76.2
Ibai Gómez Pérez,152.4,72.1
Cristian Tello Herrera,152.4,64.9
Ismaily Gonçalves dos S.,152.4,82.1
Aïssa Mandi,182.88,78
Anton Ciprian Tătărușanu,195.58,86.2
Jeison Fabián Murillo Cerón,182.88,78
Eric Dier,187.96,89.8
Jack Butland,195.58,94.8
Stefano Sorrentino,185.42,84.8
Wayne Mark Rooney,175.26,83
Miguel Ángel Moyá Rumbo,187.96,83
Lisandro López,175.26,72.1
Javier Alejandro Mascherano,175.26,73
Raffael Caetano de Araújo,175.26,68.9
Diego López Rodríguez,195.58,88.9
Juan Francisco Torres Belén,154.94,71.2
Igor Denisov,175.26,69.9
Igor Akinfeev,185.42,78
André-Pierre Gignac,187.96,91.2
Andreas Granqvist,193.04,83.9
Manuel Henrique Tavares Fernandes,175.26,74.8
Dante Bonfim da Costa Santos,187.96,84.8
Loïc Perrin,154.94,79.8
Borja Valero Iglesias,175.26,73
Adnan Januzaj,185.42,76.2
Jonas Hector,185.42,74.8
Moanes Dabour,182.88,76.2
Óliver Torres Muñoz,175.26,63
Yassine Bounou,193.04,78
Jonas Hofmann,175.26,69.9
Otávio Edmilson da Silva Monteiro,172.72,71.2
Jonathan Castro Otto,170.18,69.9
Leander Dendoncker,187.96,88
Roman Zobnin,182.88,74.8
Ricardo Jorge da Luz Horta,172.72,63
Thiago Henrique Mendes Ribeiro,152.4,79.8
Jefferson Andrés Lerma Solís,152.4,69.9
Jean-Philippe Gbamin,185.42,83
Iván Marcone,182.88,83
Darío Benedetto,152.4,79.8
Marwin Hitz,193.04,88.9
Nathaniel Edwin Clyne,175.26,67.1
Adem Ljajić,182.88,73.9
Johann  Berg Guðmunds­son,152.4,77.1
Elkeson de Oliveira Cardoso,154.94,77.1
Enrique García Martínez,185.42,78.9
Sergio Escudero Palomo,175.26,72.1
Iago Herrerín Buisán,187.96,94.8
Víctor Ruíz Torre,185.42,78
Gary Alexis Medel Soto,170.18,64.9
Younès Belhanda,152.4,74.8
Hugo Mallo Novegil,175.26,72.1
Borja García Freire,175.26,72.1
Wahbi Khazri,175.26,82.1
Phil Jones,185.42,71.2
Alfreð Finnbogason,182.88,79.8
Vinícius José de Oliveira Júnior,175.26,73
Héctor Junior Firpo Adamés,182.88,74.8
Emre Belözoğlu,170.18,72.1
Fernando José Torres Sanz,185.42,78.9
Bastian Schweinsteiger,182.88,78.9
Burak Yılmaz,187.96,77.1
Mario Gómez García,187.96,88.9
Ashley Young,175.26,64.9
Ryan Guno Babel,185.42,84.8
Benoît Costil,187.96,88
Salomon Armand Magloire Kalou,182.88,77.1
Ezequiel Iván Lavezzi,172.72,74.8
Hatem Ben Arfa,152.4,73.9
Ben Foster,193.04,89.8
Tom Heaton,187.96,92.1
Charles Dias De Oliveira,152.4,74.8
Gary Cahill,193.04,88
Alex Iwobi,185.42,74.8
Ruben Loftus-Cheek,190.5,88
Alexandr Selikhov,187.96,84.8
Johan Andrés Mojica Palacio,185.42,73
Wílmar Enrique Barrios Terán,152.4,71.2
Carlos Roberto Izquierdoz,185.42,88.9
Walter Benítez,190.5,91.2
Nikola Maksimović,193.04,87.1
Aleksandar Mitrović,187.96,82.1
Marco Sportiello,193.04,87.1
Ander Capa Rodríguez,175.26,74.8
Marcelo Augusto Ferreira Teixeira,175.26,68.9
Youri Tielemans,175.26,72.1
Stanislav Lobotka,170.18,64
Maximilian Philipp,182.88,78.9
Léo Dubois,152.4,73
Lewis Dunk,193.04,88
Christopher Schindler,187.96,77.1
Yevhen Konoplyanka,152.4,78
Pedro Filipe Teodósio Mendes,185.42,78
Riccardo Saponara,182.88,73
Layvin Kurzawa,182.88,76.2
Martin Hinteregger,182.88,83
Danny  Vieira da Costa,187.96,88
Fernando Lucas Martins,175.26,79.8
Willy Boly,195.58,97.1
Alexander Schwolow,187.96,83.9
Gregoire Defrel,152.4,77.1
Álvaro González Soberón,182.88,74.8
Leonardo Bittencourt,170.18,62.1
André Martín Carrillo Díaz,154.94,78
Mohamed Elyounoussi,152.4,69.9
Orestis Karnezis,190.5,81.2
Óscar de Marcos Arana,182.88,79.8
Rémy Cabella,170.18,71.2
Joe Hart,195.58,91.2
José Manuel Jurado Marín,175.26,72.1
Elías Hernán Hernández Jacuinde,170.18,64.9
Daniel Ginczek,190.5,84.8
Lucas Pérez Martínez,154.94,73
Jefferson Agustín Farfán Guadalupe,152.4,83.9
Asmir Begović,198.12,83
Vitorino Hilton da Silva,154.94,78
Julian Baumgartlinger,182.88,86.2
Esteban Félix Granero Molina,154.94,78
Zlatko Junuzović,172.72,72.1
Victor Moses,152.4,77.1
Mathieu Debuchy,175.26,76.2
Guillermo Alfonso Maripán Loaysa,193.04,83
Iván Cuéllar Sacristán,187.96,76.2
Fabian Johnson,182.88,73.9
Aarón Martín Caricol,154.94,72.1
Gastón Rodrigo Pereiro López,187.96,76.2
Benjamin Moukandjo Bilé,154.94,73.9
Martin Harnik,185.42,79.8
James  Ward-Prowse,172.72,66.2
Romain Alessandrini,172.72,69.9
Manuel Alejandro García Sánchez,182.88,73.9
Michail Antonio,152.4,82.1
Adrien Sebastian Perruchet Silva,175.26,68.9
Steve Cook,185.42,82.1
Ben Mee,182.88,82.1
Adriano Correia Claro,172.72,74.8
Jeremain Lens,152.4,74.8
José Salomón Rondón Giménez,185.42,98
Andreas Hugo Hoelgebaum Pereira,152.4,71.2
Vedad Ibišević,187.96,82.1
Lucas Ocampos,187.96,83.9
Nicolai Müller,172.72,66.2
Simão Alvin Acunha Bardini,152.4,71.2
Jonathan Calleri,154.94,77.1
Alireza Jahanbakhsh,154.94,78
Aleksandar Prijović,190.5,88
Fabricio Martín Agosto Ramírez,182.88,79.8
Mohamed Elneny,154.94,73.9
Jorge Meré Pérez,182.88,79.8
Wilson Bruno Naval Costa Eduardo,152.4,73
Alejandro Remiro Gargallo,190.5,83
Teófilo Gutiérrez,152.4,81.2
Andriy Pyatov,190.5,89.8
Diego Javier Llorente Ríos,185.42,74.8
Ignazio Abate,154.94,73
Thomas Vermaelen,182.88,79.8
Niclas Füllkrug,187.96,83
Pedro  Mba Obiang Avomo,185.42,74.8
Wallace Fortuna dos Santos,190.5,84.8
Jorge Djaniny  Tavares Semedo,190.5,78
Roberto Jiménez Gago,193.04,93.9
Serdar Taşçı,185.42,81.2
Lasse Schøne,152.4,78
Jermain  Defoe,170.18,64.9
Volkan Babacan,193.04,86.2
Odion Jude Ighalo,182.88,74.8
André Schürrle,182.88,71.2
Ellyes Skhiri,185.42,68.9
Waldemar Anton,187.96,74.8
Rodrigo Sebastián Palacio,175.26,69.9
Kevin Lasagna,185.42,79.8
Darío Cvitanich,175.26,72.1
Sebastian De Maio,190.5,89.8
Simon Terodde,193.04,83
Jonathan  de Guzmán,175.26,73.9
Renato Civelli,195.58,88.9
Pablo Maffeo Becerra,172.72,69.9
Cédric Ricardo Alves Soares,172.72,67.1
Kyriakos Papadopoulos,185.42,87.1
Alexander Szymanowski,175.26,64.9
Juraj Kucka,185.42,83.9
Phil Jagielka,154.94,87.1
Marco Benassi,182.88,79.8
Pontus Jansson,195.58,86.2
Bernardo José Espinosa Zúñiga,193.04,83.9
José Pedro Malheiro de Sá,193.04,84.8
Matz Sels,190.5,88
Yuri Berchiche Izeta,154.94,79.8
Rafael Santos Borré,175.26,71.2
João Paulo Dias Fernandes,187.96,81.2
Cristiano Piccini,187.96,78.9
Benjamin André,154.94,76.2
Antonio Barragán Fernández,182.88,76.2
Mbwana Ally Samatta,182.88,79.8
Issa Diop,193.04,92.1
Matthew Lowton,154.94,78
Theo Bernard François Hernández,182.88,82.1
Juan Pedro Ramírez López,190.5,84.8
Kenny Tete,154.94,71.2
Blerim Džemaili,152.4,73
André Filipe Brás André,175.26,64.9
Mikel Balenziaga Oruesagasti,152.4,76.2
Valon Behrami,185.42,78
Diego Antonio Reyes Rosales,187.96,73.9
Caiuby Francisco da Silva,182.88,84.8
Seydou Doumbia,152.4,71.2
João Félix Sequeira,154.94,69.9
Lisandro López,190.5,82.1
Mario Suárez Mata,187.96,79.8
Jonas Lössl,195.58,88
Gonzalo Castro Randon,172.72,72.1
Matt Phillips,182.88,74.8
Gabriel Boschilia,172.72,63
武磊,175.26,66.2
Nicolás Blandi,154.94,76.2
Lovre Kalinić,200.66,98.9
Federico Fernández,190.5,83
Jackson Martínez,185.42,79.8
Emerson Palmieri dos Santos,175.26,77.1
Rômulo  Souza Orestes Caldeira,152.4,72.1
Christian Benteke Liolo,190.5,83
Milot Rashica,152.4,73
Leighton Baines,170.18,69.9
Mark Noble,152.4,76.2
Filip Benković,193.04,91.2
Cristian Miguel Riveros Núñez,152.4,73.9
M'Baye Babacar Niang,182.88,78
Davide Santon,187.96,77.1
Ivan Ordets,193.04,88
Francisco Geraldes,175.26,64.9
Robert Snodgrass,182.88,82.1
Vitor Hugo Franchescoli de Souza,187.96,79.8
Mario Pašalić,187.96,83
Fabio Borini,154.94,73.9
Nikola Vukčević,182.88,76.2
Atiba Hutchinson,187.96,83
Maximiliano Nicol Moralez,157.48,55.8
Charlie Austin,187.96,83.9
Robert Kenedy Nunes do Nascimento,182.88,77.1
Eltildo Lucas Correia Pitta,187.96,78
João Pedro Geraldino dos Santos Galvão,182.88,73
Alessandro Diamanti,154.94,74.8
Guilherme dos Santos Torres,152.4,76.2
Jérémy Morel,175.26,78
Fernando Javier Llorente Torres,193.04,92.1
Gökhan Gönül,175.26,74.8
Alberto Paloschi,182.88,79.8
Julio Leonardo Dourado de Freitas,193.04,91.2
Markel Bergara Larrañaga,154.94,78
Lee Nguyen,172.72,68
Anthony Knockaert,172.72,68.9
Iñigo Córdoba Kerejeta,154.94,73
Joël Veltman,182.88,74.8
Nicola Sansone,175.26,68
Arda Turan,152.4,76.2
Haris Seferović,187.96,84.8
Rafael Jorgino Cachoira Rebelo,187.96,83.9
Amadou Haidara,175.26,67.1
Francesco Caputo,154.94,73.9
Manuel Locatelli,185.42,74.8
Jordan Ayew,182.88,81.2
Tin Jedvaj,182.88,82.1
Sofiane Hanni,152.4,72.1
Andrés Eduardo Fernández Moreno,187.96,82.1
Thomas Monconduit,182.88,83
Nordi Mukiele,185.42,73.9
Dominique Heintz,187.96,88.9
Uílson de Souza Paula Júnior,172.72,69.9
Aaron  Lennon,165.1,63
Jetro Willems,152.4,82.1
Miloš Veljković,182.88,77.1
Ishak Belfodil,190.5,86.2
Hugo Miguel Almeida Costa Lopes,182.88,83
Dale Stephens,185.42,71.2
Brais Méndez Portela,187.96,76.2
Adam Smith,154.94,78
José Luis García del Pozo,182.88,73.9
Francisco Femenía Far,175.26,60.8
Mijat Gaćinović,175.26,68.9
Per Ciljan Skjelbred,175.26,73.9
Da Conceição Fernando Henrique,175.26,64.9
Scott Brown,175.26,79.8
Marko Grujić,190.5,82.1
Adama Soumaoro,187.96,91.2
Raúl Rodríguez Navas,185.42,83.9
Ádám Szalai,193.04,89.8
Amadou Diawara,182.88,73.9
Łukasz Skorupski,187.96,83.9
Romain Hamouma,152.4,76.2
Kevin Stöger,175.26,74.8
Karol Linetty,175.26,73
Stefan Bell,193.04,88
Alfred John Momar N'Diaye,187.96,89.8
