"","out","p1","qvalue"
"Fumaric.Acid..114.9...71.0.","270 (169, 407)",6.66133814775094e-16,7.50914482110106e-15
"Fructose..179.0...89.0..3..","210 (124, 329)",7.77289344000565e-12,5.35465992533722e-11
"X1.3.Methylhistidine..170.0...96.0.","206 (94, 383)",1.59536918298286e-06,7.3268806922176e-06
"Lactose..341.0...59.0.","170 (65, 343)",8.44236099191153e-05,0.0003172281099991
"Glucoronate..193.0...73.0.","160 (111, 220)",0,0
"Cystamine..153.0...108.0.","138 (84, 209)",6.74220679286464e-11,4.40017706481692e-10
"Methylmalonate..117.0...73.0..2..","108 (81, 139)",0,0
"Oxaloacetate..131.0...87.0..2..","104 (69, 146)",7.8159700933611e-14,6.92271636840555e-13
"OH.Phenylpyruvate..179.0...89.0..4..","100 (76, 127)",0,0
"Shikimic.Acid..173.0...93.0.","99 (51, 163)",1.2689140038713e-06,6.05174371077082e-06
"Creatinine..114.1...44.0.","97 (79, 118)",0,0
"Inositol..179.0...87.0.","95 (70, 122)",0,0
"Ascorbic.Acid..Vit..C...175.0...87.0.","94 (62, 132)",4.15223411209809e-13,3.02868841117743e-12
"Hippuric.Acid..178.0...134.0.","92 (30, 184)",0.00111797044240136,0.00338117889896997
"Trimethylamine.N.oxide..TMAO...76.1...58.0.","87 (32, 166)",0.00042572125922069,0.00142674151738826
"N.Acetylneuraminate..308.1...87.0.","79 (49, 114)",3.76273012747674e-10,2.33289267903558e-09
"Xanthosine..283.1...151.0.","74 (52, 100)",1.33226762955019e-15,1.37667655053519e-14
"Adipic.Acid..144.9...83.0.","71 (42, 106)",1.2142285177319e-08,6.84383346357978e-08
"X1.Methylhistamine..126.0...96.0.","70 (24, 133)",0.00102281113283698,0.00317071451179463
"Hydroxyproline.Aminolevulinate..132.1...86.2.","61 (31, 97)",5.2239892107675e-06,2.23370573150059e-05
"Glycochenodeoxycholate..448.3...74.0.","58 (6, 135)",0.0236393661036995,0.0553071961671461
"X2.Hydroxyisovaleric.Acid..117.0...71.0.","47 (19, 81)",0.000330677559401638,0.00113900048238342
"Aminoisobutyrate..104.1...86.0.","46 (35, 58)",0,0
"Citrulline..174.0...131.0.","45 (32, 59)",2.1316282072803e-14,2.03324536694429e-13
"Propionate..73.0...55.0.","44 (25, 66)",3.75157375609447e-07,2.02258759024224e-06
"L.Kynurenine..209.1...94.0.","43 (30, 58)",9.76996261670138e-14,8.07650242980647e-13
"X1.Methyladenosine..282.0...150.1.","42 (30, 54)",2.22044604925031e-16,2.75335310107039e-15
"Pentothenate..218.1...88.0.","41 (4, 90)",0.024886242678315,0.0571461868909455
"Acetylcholine..146.1...87.0.","40 (14, 73)",0.00158627468181338,0.00457437350104324
"Acetylcarnitine..204.1...85.0.","40 (20, 63)",2.53268983689825e-05,0.00010130759347593
"Homogentisate..167.0...123.0.","37 (27, 48)",2.22044604925031e-16,2.75335310107039e-15
"Cytidine..244.1...112.0.","37 (7, 75)",0.0132309710362706,0.0349072427339905
"Urate..167.0...124.0.","36 (27, 47)",2.22044604925031e-16,2.75335310107039e-15
"X2.Hydroxyglutarate..147.0...129.0.","36 (25, 48)",3.93463039927155e-13,3.02868841117743e-12
"Choline..104.1...60.0.","35 (27, 44)",0,0
"Cystine..241.1...120.0.","33 (21, 46)",2.57331578268349e-09,1.51948170025121e-08
"Margaric.Acid..269.1...251.3.","32 (17, 48)",4.60510972377648e-06,2.0394057348153e-05
"Deoxycarnitine..147.1...87.0.","31 (15, 48)",4.10586305323868e-05,0.000159102193312999
"Allantoin..157.0...114.0.","28 (16, 40)",4.73531171829578e-07,2.44657772111948e-06
"Azelaic.Acid..187.0...125.0.","26 (14, 39)",8.49849263628855e-06,3.51271028966593e-05
"Proline..116.1...70.0.","20 (9, 32)",0.000195282709252398,0.000691858741351352
"N.AcetylGlycine..116.0...74.0.","20 (-8, 56)",0.180079707205625,0.331567776461745
"Benzoic.acid..121.0...77.0..2..","17 (3, 33)",0.0136654029210053,0.0353022908792636
"X2.Aminoadipate..160.1...116.0.","17 (2, 35)",0.0299396128838734,0.0651317894315842
"Acetoacetate..101.0...57.0.","17 (1, 34)",0.0356939090032162,0.075017707057607
"Ornithine..133.1...70.0.","13 (4, 23)",0.0040319055078748,0.0111101396216994
"Glycine..76.0...30.1.","13 (1, 26)",0.0320028650371453,0.0684199183552762
"Trimethylamine..TMA...60.0...44.0.","12 (2, 22)",0.0157289367812983,0.0382429051153135
"Carnitine..162.1...85.0.","11 (2, 20)",0.0151967463663836,0.0378526918505941
"Linolenic.Acid..279.1...261.0.","6 (-7, 22)",0.382243144069564,0.55114127749565
"Oxypurinol..151.0...42.0.","6 (-15, 33)",0.59729042928564,0.763546528158963
"Linoleic.Acid..277.1...259.0.","6 (-7, 21)",0.37030473042494,0.540209253796384
"Orotate..155.0...111.0.","6 (1, 11)",0.0104024258595661,0.0280413218823086
"X4.Hydroxybutyrate..105.0...77.0.","6 (-5, 18)",0.28788267231156,0.463603264501732
"Hypoxanthine..135.0...92.0.","6 (-15, 31)",0.618119872920665,0.766853231192559
"Arginine..175.1...70.0.","5 (-3, 13)",0.209044935280158,0.362751529706163
"Alanine..90.0...44.0.","5 (-5, 15)",0.330111351814228,0.499192775914198
"Xanthine..151.0...108.0.","4 (-16, 29)",0.741114275070269,0.850908982488087
"Cadaverine..103.0...86.0.","4 (-3, 11)",0.281895863114378,0.459935355607669
"Myristic.Acid..227.1...209.0.","3 (-10, 18)",0.64423278123062,0.77558121235531
"Taurine..126.0...108.0.","3 (-8, 15)",0.618430025155289,0.766853231192559
"Histidine..156.1...110.0.","3 (-3, 9)",0.319987138603214,0.49538643469524
"Succinate..117.0...73.0.","3 (-7, 14)",0.587636945715024,0.759031054881906
"Glucose..179.0...89.0.","3 (-2, 7)",0.226123903131792,0.378910324166786
"Glutamine..147.1...84.0.","3 (-1, 6)",0.169290688323713,0.318061293214248
"Adenylosuccinate..462.1...79.0.","2 (-15, 23)",0.814014658268136,0.887087341281271
"Phenylalanine..166.1...120.0.","2 (-3, 7)",0.461445285101163,0.615260380134884
"X3.Hydroxykynurenine..225.2...110.1.","2 (-2, 6)",0.419367265288523,0.584286976357043
"Glyceraldehyde..89.0...59.0.","2 (-11, 16)",0.789328236306593,0.877630953275102
"AMP..346.1...79.0.","2 (-22, 32)",0.904707133655622,0.942173579220119
"Asparagine..133.1...74.0.","1 (-6, 10)",0.718800654103805,0.833002627185717
"Alpha.Ketoglutaric.Acid..145.0...101.0.","1 (-5, 7)",0.686800321105266,0.810632011126006
"Aspartic.Acid..134.1...74.0.","1 (-9, 12)",0.861364776615141,0.920769243967909
"Malonic.Acid..103.0...41.0.","1 (-26, 38)",0.959516121234939,0.96731706531002
"X3.Methyl.2.Oxovaleric.Acid..129.0...101.0.","1 (-21, 29)",0.949731330121008,0.96731706531002
"Arachidonate..303.3...59.0.","1 (-8, 10)",0.897609087975995,0.942173579220119
"Tyramine..138.1...77.0.","0 (-6, 7)",0.911780883116244,0.942173579220119
"isoValeric.Acid..101.0...83.0.","0 (-4, 5)",0.952418710379551,0.96731706531002
"Glutaric.Acid..131.0...87.0.","0 (-13, 15)",0.995050833781625,0.995050833781625
"Anthranilate..136.0...118.0.","0 (-3, 2)",0.792698925538802,0.877630953275102
"Mannose..181.0...99.0.","0 (-6, 6)",0.877014402233141,0.929485349375294
"Lysine..147.1...84.0..2..","-1 (-7, 7)",0.85448302637666,0.920769243967909
"Erythrose..119.0...71.0.","-1 (-6, 4)",0.692959622414167,0.810632011126006
"Homocysteine..136.0...90.0.","-1 (-7, 5)",0.670888008935499,0.799904933730787
"X4.Pyridoxic.acid..182.1...138.0.","-1 (-4, 2)",0.356444403460329,0.526179833679533
"lactate..89.0...43.0.","-2 (-12, 10)",0.751666935599327,0.855107339580886
"Pipecolate..130.0...84.0.","-2 (-10, 6)",0.633012350042159,0.769544425541448
"Glutamic.acid..148.1...84.0.","-2 (-15, 13)",0.775117850238297,0.873769212995899
"Methionine..150.1...61.0.","-3 (-10, 5)",0.516556827572463,0.681415389563674
"Pyruvate..87.0...43.0.","-3 (-12, 8)",0.6102906315464,0.766853231192559
"Ribose.5.P..229.0...79.0.","-3 (-12, 7)",0.529255519533457,0.69081773075946
"iso.Leucine..132.1...86.0..2..","-3 (-9, 3)",0.336431400945429,0.502620406231725
"MethylSuccinate..131.0...87.0..3..","-3 (-11, 5)",0.458717441375158,0.615260380134884
"Pyroglutamic.Acid..130.0...83.4.","-3 (-10, 4)",0.4037210870093,0.568879713513104
"X2.3.Phosphoglyceric.Acid..185.0...97.0.","-3 (-26, 27)",0.815548039565039,0.887087341281271
"Valine..118.1...72.0.","-4 (-9, 2)",0.201090741539609,0.361380463056688
"X5.Aminovaleric.Acid..118.0...55.0.","-4 (-10, 1)",0.12733892193736,0.253323916057029
"Pyridoxal.5.P..246.0...96.9.","-4 (-10, 2)",0.165998548618578,0.316674154287748
"Leucine..132.1...86.0.","-5 (-10, 0)",0.0674993641508124,0.139498685911679
"Sucrose..341.0...59.0..2..","-5 (-12, 2)",0.181827490317731,0.331567776461745
"Kynurenate..188.0...143.8.","-6 (-16, 4)",0.250437237569296,0.414056232781236
"X13.HODE..295.2...195.0.","-6 (-20, 10)",0.448328313928018,0.61090891128653
"G1P.G6P.F6P.F1P..259.0...97.0.","-6 (-21, 11)",0.442311781685468,0.609407343655534
"Geranyl.Pyrophosphate..313.1...79.1.","-7 (-15, 2)",0.128704892835426,0.253323916057029
"Oxalic.Acid..89.0...61.0.","-7 (-17, 4)",0.210629920474546,0.362751529706163
"Threonine..120.1...74.0..2..","-7 (-16, 3)",0.14512451807787,0.281178753775874
"Sarcosine..89.9...44.0.","-7 (-18, 4)",0.209395443189627,0.362751529706163
"Niacinamide..123.0...80.0.","-8 (-22, 9)",0.323599203308987,0.49538643469524
"Glycerate..105.0...75.0.","-8 (-14, -2)",0.0152631821978202,0.0378526918505941
"Serine..106.0...60.0.","-8 (-15, -1)",0.0295069512171711,0.0651317894315842
"IMP..347.0...79.0.","-8 (-35, 30)",0.626479456069484,0.769143094580356
"ADP..426.0...134.0.","-10 (-29, 15)",0.39628992834835,0.564827024312591
"Creatine..132.1...90.0.","-11 (-29, 12)",0.323169568725623,0.49538643469524
"Betaine..118.0...58.0.","-11 (-21, 1)",0.0707982126347733,0.143917678142818
"Biotin..243.1...200.0.","-12 (-21, -1)",0.0269029507258256,0.0606539252727704
"Sorbitol..183.0...91.0.","-12 (-18, -5)",0.000602913715624709,0.00196740265098589
"Xanthurenate..204.0...160.0.","-13 (-18, -6)",0.000111006529436075,0.000404847342649215
"Tyrosine..182.1...136.0.","-13 (-20, -6)",0.00063340139982393,0.00201389163020942
"Uridine..245.1...113.1.","-13 (-23, -2)",0.019460029630523,0.0464046860420163
"X3HBA..103.0...59.0.","-14 (-35, 15)",0.313980136023107,0.49538643469524
"Guanidinoacetate..116.0...74.0..2..","-15 (-24, -6)",0.00202111804082472,0.00569587811505149
"Citraconic.Acid..129.0...85.0.","-17 (-39, 12)",0.220913800913858,0.375250839908471
"Tryptophan..205.1...146.0.","-18 (-24, -11)",1.03257930139655e-06,5.1215933349269e-06
"Dimethylglycine..104.1...58.0.","-20 (-30, -8)",0.00130009202571091,0.00383836693305125
