"","clamp effect, >=60","clamp effect, <60","clamp int p"
"PGE..351.2...315.3.","0.46 (0.39, 0.55)","0.66 (0.59, 0.74)","< 0.001"
"Niacinamide..123.0...80.0.","0.4 (0.36, 0.45)","0.51 (0.47, 0.55)","< 0.001"
"Glutamic.acid..148.1...84.0.","0.92 (0.89, 0.95)","0.86 (0.85, 0.88)","< 0.001"
"Taurine..126.0...108.0.","0.51 (0.48, 0.56)","0.6 (0.56, 0.63)","0.0021"
"Arginine..175.1...70.0.","0.89 (0.88, 0.91)","0.92 (0.91, 0.93)","0.0028"
"MethylSuccinate..131.0...113.0.","0.79 (0.76, 0.81)","0.83 (0.81, 0.85)","0.0041"
"Serine..106.0...60.0.","0.86 (0.85, 0.88)","0.89 (0.88, 0.9)","0.0046"
"Biotin..243.1...200.0.","0.82 (0.77, 0.86)","0.89 (0.86, 0.93)","0.0046"
"Oxypurinol..151.0...42.0.","0.85 (0.81, 0.9)","0.78 (0.75, 0.81)","0.0047"
"Glutamine..147.1...84.0.","0.91 (0.88, 0.93)","0.95 (0.93, 0.97)","0.0089"
"Allantoin..157.0...114.0.","0.98 (0.94, 1.01)","0.92 (0.89, 0.94)","0.01"
"D.Leucic.Acid..133.1...87.0.","0.83 (0.79, 0.88)","0.91 (0.87, 0.95)","0.014"
"Glyceraldehyde..89.0...59.0.","0.84 (0.81, 0.88)","0.9 (0.87, 0.93)","0.019"
"Glucose..179.0...89.0.","1.01 (0.98, 1.05)","0.97 (0.94, 0.99)","0.02"
"Phenylalanine..166.1...120.0.","0.87 (0.86, 0.89)","0.89 (0.88, 0.9)","0.028"
"X13C.Arginine..181.1...74.0.","1.03 (1.01, 1.04)","1 (0.99, 1.01)","0.029"
"Valine..118.1...72.0.","0.83 (0.81, 0.84)","0.85 (0.84, 0.86)","0.033"
"Urate..167.0...124.0.","0.98 (0.95, 1)","1 (0.99, 1.02)","0.064"
"Glycerate..105.0...75.0.","0.95 (0.91, 1)","0.91 (0.88, 0.94)","0.085"
"Threonine..120.1...74.0.","0.83 (0.81, 0.84)","0.85 (0.83, 0.86)","0.099"
"Methionine..150.1...61.0.","0.74 (0.72, 0.77)","0.76 (0.75, 0.78)","0.13"
"Ornithine..133.1...70.0.","0.84 (0.82, 0.87)","0.82 (0.8, 0.84)","0.2"
"Asparagine..133.1...74.0.","0.8 (0.78, 0.83)","0.82 (0.81, 0.84)","0.2"
"Carnitine..163.1...85.0.","1.01 (0.99, 1.03)","1.02 (1.01, 1.04)","0.2"
"Shikimic.Acid..173.0...93.0.","0.98 (0.96, 1.01)","1 (0.99, 1.02)","0.2"
"Glycine..76.0...30.2.","0.94 (0.92, 0.97)","0.92 (0.91, 0.94)","0.21"
"Betaine..118.0...58.0.","0.99 (0.97, 1.01)","0.97 (0.96, 0.99)","0.21"
"Hydroxyproline.Aminolevulinate..132.1...86.2.","0.87 (0.84, 0.91)","0.85 (0.82, 0.87)","0.21"
"Adenylosuccinate..462.1...79.0.","0.85 (0.82, 0.89)","0.82 (0.8, 0.85)","0.21"
"Leucine..132.1...86.0.","0.76 (0.74, 0.78)","0.77 (0.76, 0.79)","0.22"
"iso.Leucine..132.1...86.0..2..","0.72 (0.7, 0.74)","0.73 (0.72, 0.75)","0.23"
"Tryptophan..205.1...146.0.","0.87 (0.85, 0.89)","0.88 (0.87, 0.9)","0.23"
"L.Kynurenine..209.1...94.0.","0.95 (0.91, 0.98)","0.97 (0.95, 1)","0.23"
"Succinate.Methylmalonate..117.0...73.0.","0.81 (0.78, 0.85)","0.79 (0.76, 0.81)","0.24"
"Tyrosine..182.1...136.0.","0.78 (0.76, 0.8)","0.8 (0.78, 0.81)","0.25"
"Citrulline..174.0...131.0.","0.79 (0.76, 0.82)","0.81 (0.79, 0.84)","0.26"
"Aminoisobutyrate..104.1...86.0.","0.98 (0.97, 0.99)","0.99 (0.98, 0.99)","0.29"
"Creatine..132.1...90.0.","0.94 (0.92, 0.97)","0.96 (0.94, 0.98)","0.3"
"Dimethylglycine..104.1...58.0.","0.88 (0.86, 0.9)","0.9 (0.88, 0.91)","0.31"
"Chenodeoxycholate..391.0...74.0.","0.93 (0.89, 0.97)","0.95 (0.93, 0.98)","0.35"
"N.AcetylGlycine..116.0...74.0.","0.87 (0.82, 0.92)","0.89 (0.86, 0.93)","0.36"
"Choline..104.1...60.0.","0.98 (0.97, 0.98)","0.98 (0.98, 0.99)","0.37"
"Xanthine..151.0...108.0.","1.01 (0.96, 1.07)","0.98 (0.94, 1.02)","0.37"
"Uridine..245.1...113.1.","0.83 (0.76, 0.91)","0.87 (0.82, 0.93)","0.38"
"Cystathionine..221.1...134.0.","0.86 (0.8, 0.93)","0.9 (0.85, 0.94)","0.38"
"Sorbitol..183.0...91.0.","0.79 (0.76, 0.81)","0.8 (0.78, 0.82)","0.41"
"Trimethylamine.N.oxide..TMAO...76.1...58.0.","0.91 (0.82, 1)","0.87 (0.81, 0.93)","0.45"
"Glycocholate..464.3...74.0.","0.89 (0.8, 1)","0.85 (0.78, 0.92)","0.45"
"lactate..89.0...43.0.","1.07 (1.01, 1.12)","1.04 (1, 1.08)","0.49"
"Pyridoxal.5.P..246.0...96.9.","1 (0.98, 1.02)","0.99 (0.97, 1)","0.52"
"Guanidinoacetate..116.1...70.0.","0.83 (0.8, 0.86)","0.84 (0.82, 0.86)","0.53"
"Proline..116.1...70.0.","0.86 (0.84, 0.87)","0.86 (0.85, 0.88)","0.55"
"X2.Hydroxyglutarate..147.0...129.0.","0.89 (0.86, 0.91)","0.88 (0.86, 0.89)","0.56"
"Homovanilate..181.0...137.0.","1.02 (0.95, 1.1)","0.99 (0.94, 1.05)","0.56"
"Propionate..73.0...55.0.","0.77 (0.71, 0.83)","0.79 (0.75, 0.83)","0.59"
"Hyppuric.Acid..178.0...134.0.","0.71 (0.62, 0.81)","0.68 (0.62, 0.75)","0.59"
"Cystamine..153.0...108.0.","0.95 (0.91, 1)","0.94 (0.91, 0.97)","0.62"
"Pentothenate..218.1...88.0.","0.86 (0.8, 0.93)","0.88 (0.83, 0.93)","0.64"
"Histidine..156.1...110.0.","0.92 (0.91, 0.94)","0.93 (0.92, 0.94)","0.65"
"Trimethylamine..TMA...60.0...45.0.","1.01 (0.99, 1.04)","1.02 (1, 1.04)","0.67"
"Cystine..241.1...120.0.","0.96 (0.93, 1)","0.97 (0.95, 1)","0.67"
"Linolenic.Acid..279.1...261.0.","0.68 (0.65, 0.72)","0.69 (0.67, 0.72)","0.72"
"Fumaric.Acid.Maleic.Acid..115.0...71.0.","1 (0.94, 1.06)","0.98 (0.94, 1.03)","0.73"
"Creatinine..114.1...44.0.","0.98 (0.96, 1)","0.98 (0.97, 1)","0.76"
"Alanine..90.0...44.0.","0.91 (0.88, 0.94)","0.9 (0.88, 0.92)","0.8"
"Melatonin..231.1...172.3.","0.98 (0.96, 1)","0.98 (0.96, 1)","0.8"
"G1P.G6P.F6P.F1P..259.0...78.8.","0.9 (0.88, 0.94)","0.91 (0.89, 0.93)","0.89"
"Glucoronate..193.0...113.0.","0.94 (0.9, 0.98)","0.94 (0.91, 0.96)","0.9"
"Aspartic.Acid..134.1...74.0.","0.9 (0.88, 0.92)","0.9 (0.89, 0.92)","0.91"
"Lysine..147.1...84.0..2..","0.9 (0.88, 0.92)","0.9 (0.88, 0.91)","0.93"
"Hypoxanthine..135.0...92.0.","0.99 (0.92, 1.07)","0.99 (0.94, 1.04)","0.93"
"GTP..522.0...159.0.","0.96 (0.93, 0.98)","0.96 (0.94, 0.97)","0.93"
"Citraconic.Acid..129.0...85.0.","1.04 (0.85, 1.27)","1.03 (0.9, 1.19)","0.94"
"Glycochenodeoxycholate..448.3...74.0.","0.85 (0.78, 0.93)","0.85 (0.8, 0.9)","0.97"
