,height_cm,weight_kgs
0,170.18,72.1
1,154.94,76.2
2,190.5,83.9
3,162.56,59.0
4,187.96,88.9
5,193.04,92.1
6,152.4,73.0
7,172.72,69.9
8,193.04,92.1
9,185.42,77.1
10,187.96,76.2
11,198.12,96.2
12,187.96,84.8
13,175.26,73.0
14,175.26,71.2
15,152.4,74.8
16,187.96,79.8
17,152.4,67.1
18,185.42,88.9
19,182.88,78.0
20,187.96,86.2
21,170.18,60.8
22,175.26,79.8
23,185.42,81.2
24,170.18,68.0
25,175.26,69.9
26,185.42,84.8
27,185.42,79.8
28,175.26,78.9
29,154.94,74.8
30,185.42,83.9
31,154.94,74.8
32,185.42,84.8
33,154.94,64.9
34,187.96,78.0
35,182.88,76.2
36,154.94,74.8
37,195.58,97.1
38,152.4,68.9
39,154.94,71.2
40,185.42,79.8
41,172.72,74.8
42,187.96,78.9
43,182.88,76.2
44,152.4,67.1
45,170.18,68.0
46,195.58,94.8
47,154.94,67.1
48,172.72,63.0
49,175.26,74.8
50,175.26,78.0
51,187.96,83.0
52,190.5,86.2
53,154.94,73.0
54,172.72,69.9
55,175.26,72.1
56,187.96,78.9
57,193.04,79.8
58,187.96,78.0
59,182.88,73.9
60,190.5,79.8
61,152.4,71.2
62,170.18,62.1
63,195.58,97.1
64,170.18,67.1
65,185.42,81.2
66,187.96,77.1
67,175.26,69.9
68,172.72,73.9
69,167.64,64.0
70,152.4,68.0
71,175.26,69.9
72,187.96,69.9
73,154.94,69.9
74,190.5,84.8
75,154.94,82.1
76,175.26,69.9
77,170.18,73.0
78,190.5,82.1
79,182.88,74.8
80,154.94,76.2
81,182.88,79.8
82,172.72,66.2
83,193.04,83.0
84,162.56,60.8
85,185.42,77.1
86,172.72,68.0
87,193.04,86.2
88,187.96,78.0
89,152.4,72.1
90,182.88,76.2
91,187.96,88.0
92,175.26,68.9
93,172.72,64.0
94,154.94,74.8
95,187.96,79.8
96,175.26,79.8
97,185.42,83.9
98,154.94,76.2
99,190.5,76.2
100,185.42,84.8
101,152.4,77.1
102,187.96,83.0
103,154.94,78.9
104,187.96,83.0
105,154.94,77.1
106,182.88,76.2
107,170.18,71.2
108,175.26,69.9
109,182.88,67.1
110,185.42,83.9
111,182.88,73.0
112,152.4,78.0
113,187.96,93.0
114,187.96,84.8
115,185.42,78.9
116,154.94,78.0
117,152.4,74.8
118,152.4,68.9
119,154.94,71.2
120,175.26,66.2
121,154.94,76.2
122,175.26,69.9
123,154.94,76.2
124,185.42,83.9
125,152.4,74.8
126,187.96,83.9
127,193.04,89.8
128,175.26,76.2
129,187.96,77.1
130,175.26,69.9
131,182.88,82.1
132,182.88,82.1
133,152.4,78.9
134,182.88,76.2
135,152.4,72.1
136,152.4,64.9
137,152.4,82.1
138,182.88,78.0
139,195.58,86.2
140,182.88,78.0
141,187.96,89.8
142,195.58,94.8
143,185.42,84.8
144,175.26,83.0
145,187.96,83.0
146,175.26,72.1
147,175.26,73.0
148,175.26,68.9
149,195.58,88.9
150,154.94,71.2
151,175.26,69.9
152,185.42,78.0
153,187.96,91.2
154,193.04,83.9
155,175.26,74.8
156,187.96,84.8
157,154.94,79.8
158,175.26,73.0
159,185.42,76.2
160,185.42,74.8
161,182.88,76.2
162,175.26,63.0
163,193.04,78.0
164,175.26,69.9
165,172.72,71.2
166,170.18,69.9
167,187.96,88.0
168,182.88,74.8
169,172.72,63.0
170,152.4,79.8
171,152.4,69.9
172,185.42,83.0
173,182.88,83.0
174,152.4,79.8
175,193.04,88.9
176,175.26,67.1
177,182.88,73.9
178,152.4,77.1
179,154.94,77.1
180,185.42,78.9
181,175.26,72.1
182,187.96,94.8
183,185.42,78.0
184,170.18,64.9
185,152.4,74.8
186,175.26,72.1
187,175.26,72.1
188,175.26,82.1
189,185.42,71.2
190,182.88,79.8
191,175.26,73.0
192,182.88,74.8
193,170.18,72.1
194,185.42,78.9
195,182.88,78.9
196,187.96,77.1
197,187.96,88.9
198,175.26,64.9
199,185.42,84.8
200,187.96,88.0
201,182.88,77.1
202,172.72,74.8
203,152.4,73.9
204,193.04,89.8
205,187.96,92.1
206,152.4,74.8
207,193.04,88.0
208,185.42,74.8
209,190.5,88.0
210,187.96,84.8
211,185.42,73.0
212,152.4,71.2
213,185.42,88.9
214,190.5,91.2
215,193.04,87.1
216,187.96,82.1
217,193.04,87.1
218,175.26,74.8
219,175.26,68.9
220,175.26,72.1
221,170.18,64.0
222,182.88,78.9
223,152.4,73.0
224,193.04,88.0
225,187.96,77.1
226,152.4,78.0
227,185.42,78.0
228,182.88,73.0
229,182.88,76.2
230,182.88,83.0
231,187.96,88.0
232,175.26,79.8
233,195.58,97.1
234,187.96,83.9
235,152.4,77.1
236,182.88,74.8
237,170.18,62.1
238,154.94,78.0
239,152.4,69.9
240,190.5,81.2
241,182.88,79.8
242,170.18,71.2
243,195.58,91.2
244,175.26,72.1
245,170.18,64.9
246,190.5,84.8
247,154.94,73.0
248,152.4,83.9
249,198.12,83.0
250,154.94,78.0
251,182.88,86.2
252,154.94,78.0
253,172.72,72.1
254,152.4,77.1
255,175.26,76.2
256,193.04,83.0
257,187.96,76.2
258,182.88,73.9
259,154.94,72.1
260,187.96,76.2
261,154.94,73.9
262,185.42,79.8
263,172.72,66.2
264,172.72,69.9
265,182.88,73.9
266,152.4,82.1
267,175.26,68.9
268,185.42,82.1
269,182.88,82.1
270,172.72,74.8
271,152.4,74.8
272,185.42,98.0
273,152.4,71.2
274,187.96,82.1
275,187.96,83.9
276,172.72,66.2
277,152.4,71.2
278,154.94,77.1
279,154.94,78.0
280,190.5,88.0
281,182.88,79.8
282,154.94,73.9
283,182.88,79.8
284,152.4,73.0
285,190.5,83.0
286,152.4,81.2
287,190.5,89.8
288,185.42,74.8
289,154.94,73.0
290,182.88,79.8
291,187.96,83.0
292,185.42,74.8
293,190.5,84.8
294,190.5,78.0
295,193.04,93.9
296,185.42,81.2
297,152.4,78.0
298,170.18,64.9
299,193.04,86.2
300,182.88,74.8
301,182.88,71.2
302,185.42,68.9
303,187.96,74.8
304,175.26,69.9
305,185.42,79.8
306,175.26,72.1
307,190.5,89.8
308,193.04,83.0
309,175.26,73.9
310,195.58,88.9
311,172.72,69.9
312,172.72,67.1
313,185.42,87.1
314,175.26,64.9
315,185.42,83.9
316,154.94,87.1
317,182.88,79.8
318,195.58,86.2
319,193.04,83.9
320,193.04,84.8
321,190.5,88.0
322,154.94,79.8
323,175.26,71.2
324,187.96,81.2
325,187.96,78.9
326,154.94,76.2
327,182.88,76.2
328,182.88,79.8
329,193.04,92.1
330,154.94,78.0
331,182.88,82.1
332,190.5,84.8
333,154.94,71.2
334,152.4,73.0
335,175.26,64.9
336,152.4,76.2
337,185.42,78.0
338,187.96,73.9
339,182.88,84.8
340,152.4,71.2
341,154.94,69.9
342,190.5,82.1
343,187.96,79.8
344,195.58,88.0
345,172.72,72.1
346,182.88,74.8
347,172.72,63.0
348,175.26,66.2
349,154.94,76.2
350,200.66,98.9
351,190.5,83.0
352,185.42,79.8
353,175.26,77.1
354,152.4,72.1
355,190.5,83.0
356,152.4,73.0
357,170.18,69.9
358,152.4,76.2
359,193.04,91.2
360,152.4,73.9
361,182.88,78.0
362,187.96,77.1
363,193.04,88.0
364,175.26,64.9
365,182.88,82.1
366,187.96,79.8
367,187.96,83.0
368,154.94,73.9
369,182.88,76.2
370,187.96,83.0
371,157.48,55.8
372,187.96,83.9
373,182.88,77.1
374,187.96,78.0
375,182.88,73.0
376,154.94,74.8
377,152.4,76.2
378,175.26,78.0
379,193.04,92.1
380,175.26,74.8
381,182.88,79.8
382,193.04,91.2
383,154.94,78.0
384,172.72,68.0
385,172.72,68.9
386,154.94,73.0
387,182.88,74.8
388,175.26,68.0
389,152.4,76.2
390,187.96,84.8
391,187.96,83.9
392,175.26,67.1
393,154.94,73.9
394,185.42,74.8
395,182.88,81.2
396,182.88,82.1
397,152.4,72.1
398,187.96,82.1
399,182.88,83.0
400,185.42,73.9
401,187.96,88.9
402,172.72,69.9
403,165.1,63.0
404,152.4,82.1
405,182.88,77.1
406,190.5,86.2
407,182.88,83.0
408,185.42,71.2
409,187.96,76.2
410,154.94,78.0
411,182.88,73.9
412,175.26,60.8
413,175.26,68.9
414,175.26,73.9
415,175.26,64.9
416,175.26,79.8
417,190.5,82.1
418,187.96,91.2
419,185.42,83.9
420,193.04,89.8
421,182.88,73.9
422,187.96,83.9
423,152.4,76.2
424,175.26,74.8
425,175.26,73.0
426,193.04,88.0
427,187.96,89.8
428,182.88,73.9
429,185.42,84.8
430,182.88,78.0
431,172.72,72.1
432,182.88,83.9
433,167.64,73.0
434,165.1,64.0
435,185.42,81.2
436,185.42,77.1
437,152.4,69.9
438,182.88,81.2
