Player Number,Height (cm),Weight (kg)
0,height_cm,weight_kgs
1,170.18,72.1
2,154.94,76.2
3,190.5,83.9
4,162.56,59
5,187.96,88.9
6,193.04,92.1
7,152.4,73
8,172.72,69.9
9,193.04,92.1
10,185.42,77.1
11,187.96,76.2
12,198.12,96.2
13,187.96,84.8
14,175.26,73
15,175.26,71.2
16,152.4,74.8
17,187.96,79.8
18,152.4,67.1
19,185.42,88.9
20,182.88,78
21,187.96,86.2
22,170.18,60.8
23,175.26,79.8
24,185.42,81.2
25,170.18,68
26,175.26,69.9
27,185.42,84.8
28,185.42,79.8
29,175.26,78.9
30,154.94,74.8
31,185.42,83.9
32,154.94,74.8
33,185.42,84.8
34,154.94,64.9
35,187.96,78
36,182.88,76.2
37,154.94,74.8
38,195.58,97.1
39,152.4,68.9
40,154.94,71.2
41,185.42,79.8
42,172.72,74.8
43,187.96,78.9
44,182.88,76.2
45,152.4,67.1
46,170.18,68
47,195.58,94.8
48,154.94,67.1
49,172.72,63
50,175.26,74.8
51,175.26,78
52,187.96,83
53,190.5,86.2
54,154.94,73
55,172.72,69.9
56,175.26,72.1
57,187.96,78.9
58,193.04,79.8
59,187.96,78
60,182.88,73.9
61,190.5,79.8
62,152.4,71.2
63,170.18,62.1
64,195.58,97.1
65,170.18,67.1
66,185.42,81.2
67,187.96,77.1
68,175.26,69.9
69,172.72,73.9
70,167.64,64
71,152.4,68
72,175.26,69.9
73,187.96,69.9
74,154.94,69.9
75,190.5,84.8
76,154.94,82.1
77,175.26,69.9
78,170.18,73
79,190.5,82.1
80,182.88,74.8
81,154.94,76.2
82,182.88,79.8
83,172.72,66.2
84,193.04,83
85,162.56,60.8
86,185.42,77.1
87,172.72,68
88,193.04,86.2
89,187.96,78
90,152.4,72.1
91,182.88,76.2
92,187.96,88
93,175.26,68.9
94,172.72,64
95,154.94,74.8
96,187.96,79.8
97,175.26,79.8
98,185.42,83.9
99,154.94,76.2
100,190.5,76.2
101,185.42,84.8
102,152.4,77.1
103,187.96,83
104,154.94,78.9
105,187.96,83
106,154.94,77.1
107,182.88,76.2
108,170.18,71.2
109,175.26,69.9
110,182.88,67.1
111,185.42,83.9
112,182.88,73
113,152.4,78
114,187.96,93
115,187.96,84.8
116,185.42,78.9
117,154.94,78
118,152.4,74.8
119,152.4,68.9
120,154.94,71.2
121,175.26,66.2
122,154.94,76.2
123,175.26,69.9
124,154.94,76.2
125,185.42,83.9
126,152.4,74.8
127,187.96,83.9
128,193.04,89.8
129,175.26,76.2
130,187.96,77.1
131,175.26,69.9
132,182.88,82.1
133,182.88,82.1
134,152.4,78.9
135,182.88,76.2
136,152.4,72.1
137,152.4,64.9
138,152.4,82.1
139,182.88,78
140,195.58,86.2
141,182.88,78
142,187.96,89.8
143,195.58,94.8
144,185.42,84.8
145,175.26,83
146,187.96,83
147,175.26,72.1
148,175.26,73
149,175.26,68.9
150,195.58,88.9
151,154.94,71.2
152,175.26,69.9
153,185.42,78
154,187.96,91.2
155,193.04,83.9
156,175.26,74.8
157,187.96,84.8
158,154.94,79.8
159,175.26,73
160,185.42,76.2
161,185.42,74.8
162,182.88,76.2
163,175.26,63
164,193.04,78
165,175.26,69.9
166,172.72,71.2
167,170.18,69.9
168,187.96,88
169,182.88,74.8
170,172.72,63
171,152.4,79.8
172,152.4,69.9
173,185.42,83
174,182.88,83
175,152.4,79.8
176,193.04,88.9
177,175.26,67.1
178,182.88,73.9
179,152.4,77.1
180,154.94,77.1
181,185.42,78.9
182,175.26,72.1
183,187.96,94.8
184,185.42,78
185,170.18,64.9
186,152.4,74.8
187,175.26,72.1
188,175.26,72.1
189,175.26,82.1
190,185.42,71.2
191,182.88,79.8
192,175.26,73
193,182.88,74.8
194,170.18,72.1
195,185.42,78.9
196,182.88,78.9
197,187.96,77.1
198,187.96,88.9
199,175.26,64.9
200,185.42,84.8
201,187.96,88
202,182.88,77.1
203,172.72,74.8
204,152.4,73.9
205,193.04,89.8
206,187.96,92.1
207,152.4,74.8
208,193.04,88
209,185.42,74.8
210,190.5,88
211,187.96,84.8
212,185.42,73
213,152.4,71.2
214,185.42,88.9
215,190.5,91.2
216,193.04,87.1
217,187.96,82.1
218,193.04,87.1
219,175.26,74.8
220,175.26,68.9
221,175.26,72.1
222,170.18,64
223,182.88,78.9
224,152.4,73
225,193.04,88
226,187.96,77.1
227,152.4,78
228,185.42,78
229,182.88,73
230,182.88,76.2
231,182.88,83
232,187.96,88
233,175.26,79.8
234,195.58,97.1
235,187.96,83.9
236,152.4,77.1
237,182.88,74.8
238,170.18,62.1
239,154.94,78
240,152.4,69.9
241,190.5,81.2
242,182.88,79.8
243,170.18,71.2
244,195.58,91.2
245,175.26,72.1
246,170.18,64.9
247,190.5,84.8
248,154.94,73
249,152.4,83.9
250,198.12,83
251,154.94,78
252,182.88,86.2
253,154.94,78
254,172.72,72.1
255,152.4,77.1
256,175.26,76.2
257,193.04,83
258,187.96,76.2
259,182.88,73.9
260,154.94,72.1
261,187.96,76.2
262,154.94,73.9
263,185.42,79.8
264,172.72,66.2
265,172.72,69.9
266,182.88,73.9
267,152.4,82.1
268,175.26,68.9
269,185.42,82.1
270,182.88,82.1
271,172.72,74.8
272,152.4,74.8
273,185.42,98
274,152.4,71.2
275,187.96,82.1
276,187.96,83.9
277,172.72,66.2
278,152.4,71.2
279,154.94,77.1
280,154.94,78
281,190.5,88
282,182.88,79.8
283,154.94,73.9
284,182.88,79.8
285,152.4,73
286,190.5,83
287,152.4,81.2
288,190.5,89.8
289,185.42,74.8
290,154.94,73
291,182.88,79.8
292,187.96,83
293,185.42,74.8
294,190.5,84.8
295,190.5,78
296,193.04,93.9
297,185.42,81.2
298,152.4,78
299,170.18,64.9
300,193.04,86.2
301,182.88,74.8
302,182.88,71.2
303,185.42,68.9
304,187.96,74.8
305,175.26,69.9
306,185.42,79.8
307,175.26,72.1
308,190.5,89.8
309,193.04,83
310,175.26,73.9
311,195.58,88.9
312,172.72,69.9
313,172.72,67.1
314,185.42,87.1
315,175.26,64.9
316,185.42,83.9
317,154.94,87.1
318,182.88,79.8
319,195.58,86.2
320,193.04,83.9
321,193.04,84.8
322,190.5,88
323,154.94,79.8
324,175.26,71.2
325,187.96,81.2
326,187.96,78.9
327,154.94,76.2
328,182.88,76.2
329,182.88,79.8
330,193.04,92.1
331,154.94,78
332,182.88,82.1
333,190.5,84.8
334,154.94,71.2
335,152.4,73
336,175.26,64.9
337,152.4,76.2
338,185.42,78
339,187.96,73.9
340,182.88,84.8
341,152.4,71.2
342,154.94,69.9
343,190.5,82.1
344,187.96,79.8
345,195.58,88
346,172.72,72.1
347,182.88,74.8
348,172.72,63
349,175.26,66.2
350,154.94,76.2
351,200.66,98.9
352,190.5,83
353,185.42,79.8
354,175.26,77.1
355,152.4,72.1
356,190.5,83
357,152.4,73
358,170.18,69.9
359,152.4,76.2
360,193.04,91.2
361,152.4,73.9
362,182.88,78
363,187.96,77.1
364,193.04,88
365,175.26,64.9
366,182.88,82.1
367,187.96,79.8
368,187.96,83
369,154.94,73.9
370,182.88,76.2
371,187.96,83
372,157.48,55.8
373,187.96,83.9
374,182.88,77.1
375,187.96,78
376,182.88,73
377,154.94,74.8
378,152.4,76.2
379,175.26,78
380,193.04,92.1
381,175.26,74.8
382,182.88,79.8
383,193.04,91.2
384,154.94,78
385,172.72,68
386,172.72,68.9
387,154.94,73
388,182.88,74.8
389,175.26,68
390,152.4,76.2
391,187.96,84.8
392,187.96,83.9
393,175.26,67.1
394,154.94,73.9
395,185.42,74.8
396,182.88,81.2
397,182.88,82.1
398,152.4,72.1
399,187.96,82.1
400,182.88,83
401,185.42,73.9
402,187.96,88.9
403,172.72,69.9
404,165.1,63
405,152.4,82.1
406,182.88,77.1
407,190.5,86.2
408,182.88,83
409,185.42,71.2
410,187.96,76.2
411,154.94,78
412,182.88,73.9
413,175.26,60.8
414,175.26,68.9
415,175.26,73.9
416,175.26,64.9
417,175.26,79.8
418,190.5,82.1
419,187.96,91.2
420,185.42,83.9
421,193.04,89.8
422,182.88,73.9
423,187.96,83.9
424,152.4,76.2
425,175.26,74.8
426,175.26,73
427,193.04,88
428,187.96,89.8
429,182.88,73.9
430,185.42,84.8
431,182.88,78
432,172.72,72.1
433,182.88,83.9
434,167.64,73
435,165.1,64
436,185.42,81.2
437,185.42,77.1
438,152.4,69.9
439,182.88,81.2
440,187.96,82.1
441,182.88,77.1
442,187.96,74.8
443,172.72,73
444,170.18,67.1
445,182.88,76.2
446,170.18,64.9
447,170.18,66.2
448,182.88,81.2
449,154.94,69.9
450,182.88,73.9
451,175.26,73
452,187.96,71.2
453,185.42,82.1
454,190.5,87.1
455,154.94,67.1
