height_cm,weight_kgs,bmi
170.18,72.1,24.9
154.94,76.2,31.74
190.5,83.9,23.12
162.56,59,22.33
187.96,88.9,25.16
193.04,92.1,24.72
152.4,73,31.43
172.72,69.9,23.43
193.04,92.1,24.72
185.42,77.1,22.43
187.96,76.2,21.57
198.12,96.2,24.51
187.96,84.8,24.0
175.26,73,23.77
175.26,71.2,23.18
152.4,74.8,32.21
187.96,79.8,22.59
152.4,67.1,28.89
185.42,88.9,25.86
182.88,78,23.32
187.96,86.2,24.4
170.18,60.8,20.99
175.26,79.8,25.98
185.42,81.2,23.62
170.18,68,23.48
175.26,69.9,22.76
185.42,84.8,24.67
185.42,79.8,23.21
175.26,78.9,25.69
154.94,74.8,31.16
185.42,83.9,24.4
154.94,74.8,31.16
185.42,84.8,24.67
154.94,64.9,27.03
187.96,78,22.08
182.88,76.2,22.78
154.94,74.8,31.16
195.58,97.1,25.38
152.4,68.9,29.67
154.94,71.2,29.66
185.42,79.8,23.21
172.72,74.8,25.07
187.96,78.9,22.33
182.88,76.2,22.78
152.4,67.1,28.89
170.18,68,23.48
195.58,94.8,24.78
154.94,67.1,27.95
172.72,63,21.12
175.26,74.8,24.35
175.26,78,25.39
187.96,83,23.49
190.5,86.2,23.75
154.94,73,30.41
172.72,69.9,23.43
175.26,72.1,23.47
187.96,78.9,22.33
193.04,79.8,21.41
187.96,78,22.08
182.88,73.9,22.1
190.5,79.8,21.99
152.4,71.2,30.66
170.18,62.1,21.44
195.58,97.1,25.38
170.18,67.1,23.17
185.42,81.2,23.62
187.96,77.1,21.82
175.26,69.9,22.76
172.72,73.9,24.77
167.64,64,22.77
152.4,68,29.28
175.26,69.9,22.76
187.96,69.9,19.79
154.94,69.9,29.12
190.5,84.8,23.37
154.94,82.1,34.2
175.26,69.9,22.76
170.18,73,25.21
190.5,82.1,22.62
182.88,74.8,22.37
154.94,76.2,31.74
182.88,79.8,23.86
172.72,66.2,22.19
193.04,83,22.27
162.56,60.8,23.01
185.42,77.1,22.43
172.72,68,22.79
193.04,86.2,23.13
187.96,78,22.08
152.4,72.1,31.04
182.88,76.2,22.78
187.96,88,24.91
175.26,68.9,22.43
172.72,64,21.45
154.94,74.8,31.16
187.96,79.8,22.59
175.26,79.8,25.98
185.42,83.9,24.4
154.94,76.2,31.74
190.5,76.2,21.0
185.42,84.8,24.67
152.4,77.1,33.2
187.96,83,23.49
154.94,78.9,32.87
187.96,83,23.49
154.94,77.1,32.12
182.88,76.2,22.78
170.18,71.2,24.58
175.26,69.9,22.76
182.88,67.1,20.06
185.42,83.9,24.4
182.88,73,21.83
152.4,78,33.58
187.96,93,26.32
187.96,84.8,24.0
185.42,78.9,22.95
154.94,78,32.49
152.4,74.8,32.21
152.4,68.9,29.67
154.94,71.2,29.66
175.26,66.2,21.55
154.94,76.2,31.74
175.26,69.9,22.76
154.94,76.2,31.74
185.42,83.9,24.4
152.4,74.8,32.21
187.96,83.9,23.75
193.04,89.8,24.1
175.26,76.2,24.81
187.96,77.1,21.82
175.26,69.9,22.76
182.88,82.1,24.55
182.88,82.1,24.55
152.4,78.9,33.97
182.88,76.2,22.78
152.4,72.1,31.04
152.4,64.9,27.94
152.4,82.1,35.35
182.88,78,23.32
195.58,86.2,22.54
182.88,78,23.32
187.96,89.8,25.42
195.58,94.8,24.78
185.42,84.8,24.67
175.26,83,27.02
187.96,83,23.49
175.26,72.1,23.47
175.26,73,23.77
175.26,68.9,22.43
195.58,88.9,23.24
154.94,71.2,29.66
