height_cm,weight_kgs,BMI
170.18,72.1,24.895349411995323
154.94,76.2,31.7415308305489
190.5,83.9,23.119157349425812
162.56,59.0,22.32670480965962
187.96,88.9,25.16349079447611
193.04,92.1,24.715250261525455
152.4,73.0,31.430618416792388
172.72,69.9,23.43105897284459
193.04,92.1,24.715250261525455
185.42,77.1,22.425452995023086
187.96,76.2,21.568706395265234
198.12,96.2,24.50859602573906
187.96,84.8,24.00296984669937
175.26,73.0,23.766063075079312
175.26,71.2,23.180050560899275
152.4,74.8,32.20561996679549
187.96,79.8,22.58770039819115
152.4,67.1,28.89033555844889
185.42,88.9,25.85762349231586
182.88,78.0,23.321805902871066
187.96,86.2,24.39924529228167
170.18,60.8,20.99358175103073
175.26,79.8,25.979888128648344
185.42,81.2,23.617986811879053
170.18,68.0,23.479663800494897
175.26,69.9,22.756819300658137
185.42,84.8,24.665089675459896
185.42,79.8,23.21078014270872
175.26,78.9,25.686881871558327
154.94,74.8,31.158353098754038
185.42,83.9,24.403313959564688
154.94,74.8,31.158353098754038
185.42,84.8,24.665089675459896
154.94,64.9,27.034453423918947
187.96,78.0,22.078203396728192
182.88,76.2,22.78361038203558
154.94,74.8,31.158353098754038
195.58,97.1,25.384601283623205
152.4,68.9,29.665337108451993
154.94,71.2,29.658753216995823
185.42,79.8,23.21078014270872
172.72,74.8,25.07357955892382
187.96,78.9,22.332951897459676
182.88,76.2,22.78361038203558
152.4,67.1,28.89033555844889
170.18,68.0,23.479663800494897
195.58,94.8,24.783318246009063
154.94,67.1,27.950875573882296
172.72,63.0,21.118121821018725
175.26,74.8,24.35207558925935
175.26,78.0,25.393875614468307
187.96,83.0,23.49347284523641
190.5,86.2,23.75293639476168
154.94,73.0,30.40855315787493
172.72,69.9,23.43105897284459
175.26,72.1,23.473056817989292
187.96,78.9,22.332951897459676
193.04,79.8,21.41451651324355
187.96,78.0,22.078203396728192
182.88,73.9,22.09591610541246
190.5,79.8,21.989377312087957
152.4,71.2,30.655616866789288
170.18,62.1,21.44245767662843
195.58,97.1,25.384601283623205
170.18,67.1,23.168903544311874
185.42,81.2,23.617986811879053
187.96,77.1,21.82345489599671
175.26,69.9,22.756819300658137
172.72,73.9,24.77189210433784
167.64,64.0,22.77323195601396
152.4,68.0,29.27783633345044
175.26,69.9,22.756819300658137
187.96,69.9,19.785466890144882
154.94,69.9,29.117231037472024
190.5,84.8,23.367157845426803
154.94,82.1,34.19920841454153
175.26,69.9,22.756819300658137
170.18,73.0,25.206109668178346
190.5,82.1,22.623156357423824
182.88,74.8,22.3650138658302
154.94,76.2,31.7415308305489
182.88,79.8,23.86000142370655
172.72,66.2,22.19078832621333
193.04,83.0,22.273243992471365
162.56,60.8,23.007858515717032
185.42,77.1,22.425452995023086
172.72,68.0,22.79416323538529
193.04,86.2,23.131971471699178
187.96,78.0,22.078203396728192
152.4,72.1,31.043117641790833
182.88,76.2,22.78361038203558
187.96,88.0,24.908742293744627
175.26,68.9,22.43125679278034
172.72,64.0,21.45333010389204
154.94,74.8,31.158353098754038
187.96,79.8,22.58770039819115
175.26,79.8,25.979888128648344
185.42,83.9,24.403313959564688
154.94,76.2,31.7415308305489
190.5,76.2,20.99737532808399
185.42,84.8,24.665089675459896
152.4,77.1,33.195899725132776
187.96,83.0,23.49347284523641
154.94,78.9,32.86623074186756
187.96,83.0,23.49347284523641
154.94,77.1,32.116430800988454
182.88,76.2,22.78361038203558
170.18,71.2,24.584589155812306
175.26,69.9,22.756819300658137
182.88,67.1,20.06273302670062
185.42,83.9,24.403313959564688
182.88,73.0,21.826818344994717
152.4,78.0,33.58340050013433
187.96,93.0,26.324011742252846
187.96,84.8,24.00296984669937
185.42,78.9,22.949004426813513
154.94,78.0,32.49133077142801
152.4,74.8,32.20561996679549
152.4,68.9,29.665337108451993
154.94,71.2,29.658753216995823
175.26,66.2,21.55223802151028
154.94,76.2,31.7415308305489
175.26,69.9,22.756819300658137
154.94,76.2,31.7415308305489
185.42,83.9,24.403313959564688
152.4,74.8,32.20561996679549
187.96,83.9,23.74822134596789
193.04,89.8,24.098039885830463
175.26,76.2,24.80786310028827
187.96,77.1,21.82345489599671
175.26,69.9,22.756819300658137
182.88,82.1,24.547695700329673
182.88,82.1,24.547695700329673
152.4,78.9,33.97090127513588
182.88,76.2,22.78361038203558
152.4,72.1,31.043117641790833
152.4,64.9,27.943111441778438
152.4,82.1,35.34868180847472
182.88,78.0,23.321805902871066
195.58,86.2,22.535042540147483
182.88,78.0,23.321805902871066
187.96,89.8,25.418239295207584
195.58,94.8,24.783318246009063
185.42,84.8,24.665089675459896
175.26,83.0,27.0216881538573
187.96,83.0,23.49347284523641
175.26,72.1,23.473056817989292
175.26,73.0,23.766063075079312
175.26,68.9,22.43125679278034
195.58,88.9,23.240896540824956
154.94,71.2,29.658753216995823
175.26,69.9,22.756819300658137
185.42,78.0,22.6872287109183
187.96,91.2,25.81451474078989
193.04,83.9,22.51476109600419
175.26,74.8,24.35207558925935
187.96,84.8,24.00296984669937
154.94,79.8,33.24113071230711
175.26,73.0,23.766063075079312
185.42,76.2,22.163677279127878
185.42,74.8,21.75647060995755
182.88,76.2,22.78361038203558
175.26,63.0,20.510437996301324
193.04,78.0,20.93148230617791
175.26,69.9,22.756819300658137
172.72,71.2,23.866829740579895
170.18,69.9,24.13571323021461
187.96,88.0,24.908742293744627
182.88,74.8,22.3650138658302
172.72,63.0,21.118121821018725
152.4,79.8,34.35840205013743
152.4,69.9,30.095893525120385
185.42,83.0,24.141538243669473
182.88,83.0,24.816793460747416
152.4,79.8,34.35840205013743
193.04,88.9,23.856522782297645
175.26,67.1,21.845244278600298
182.88,73.9,22.09591610541246
152.4,77.1,33.195899725132776
154.94,77.1,32.116430800988454
185.42,78.9,22.949004426813513
175.26,72.1,23.473056817989292
187.96,94.8,26.833508743715804
185.42,78.0,22.6872287109183
170.18,64.9,22.40926736253116
152.4,74.8,32.20561996679549
175.26,72.1,23.473056817989292
175.26,72.1,23.473056817989292
175.26,82.1,26.72868189676728
185.42,71.2,20.709367746376707
182.88,79.8,23.86000142370655
175.26,73.0,23.766063075079312
182.88,74.8,22.3650138658302
170.18,72.1,24.895349411995323
185.42,78.9,22.949004426813513
182.88,78.9,23.59090366328881
187.96,77.1,21.82345489599671
187.96,88.9,25.16349079447611
175.26,64.9,21.129006761269142
185.42,84.8,24.665089675459896
187.96,88.0,24.908742293744627
182.88,77.1,23.05270814245332
172.72,74.8,25.07357955892382
152.4,73.9,31.81811919179394
193.04,89.8,24.098039885830463
187.96,92.1,26.069263241521366
152.4,74.8,32.20561996679549
193.04,88.0,23.61500567876482
185.42,74.8,21.75647060995755
190.5,88.0,24.248937386763664
187.96,84.8,24.00296984669937
185.42,73.0,21.232919178167126
152.4,71.2,30.655616866789288
185.42,88.9,25.85762349231586
190.5,91.2,25.130716928100522
193.04,87.1,23.373488575232
187.96,82.1,23.23872434450493
193.04,87.1,23.373488575232
175.26,74.8,24.35207558925935
175.26,68.9,22.43125679278034
175.26,72.1,23.473056817989292
170.18,64.0,22.09850710634814
182.88,78.9,23.59090366328881
152.4,73.0,31.430618416792388
193.04,88.0,23.61500567876482
187.96,77.1,21.82345489599671
152.4,78.0,33.58340050013433
185.42,78.0,22.6872287109183
182.88,73.0,21.826818344994717
182.88,76.2,22.78361038203558
182.88,83.0,24.816793460747416
187.96,88.0,24.908742293744627
175.26,79.8,25.979888128648344
195.58,97.1,25.384601283623205
187.96,83.9,23.74822134596789
152.4,77.1,33.195899725132776
182.88,74.8,22.3650138658302
170.18,62.1,21.44245767662843
154.94,78.0,32.49133077142801
152.4,69.9,30.095893525120385
190.5,81.2,22.375155861422837
182.88,79.8,23.86000142370655
170.18,71.2,24.584589155812306
195.58,91.2,23.842179578439097
175.26,72.1,23.473056817989292
170.18,64.9,22.40926736253116
190.5,84.8,23.367157845426803
154.94,73.0,30.40855315787493
152.4,83.9,36.12368335847783
198.12,83.0,21.145670167737443
154.94,78.0,32.49133077142801
182.88,86.2,25.773585497788282
154.94,78.0,32.49133077142801
172.72,72.1,24.168517195165872
152.4,77.1,33.195899725132776
175.26,76.2,24.80786310028827
193.04,83.0,22.273243992471365
